Project 01,Project 02,SimilarityResult [0-1]
D:\Projetos\_Web\kafka-webview,D:\Projetos\_Web\openmpf,"0,51"
D:\Projetos\_Web\kafka-webview,D:\Projetos\_Web\jbpm-wb,"0,00"
D:\Projetos\_Web\ice,D:\Projetos\_Web\webprotege,"0,06"
D:\Projetos\_Web\ice,D:\Projetos\_Web\kafdrop,"0,39"
D:\Projetos\_Web\ice,D:\Projetos\_Web\webofneeds,"0,40"
D:\Projetos\_Web\ice,D:\Projetos\_Web\aet,"0,14"
D:\Projetos\_Web\ice,D:\Projetos\_Web\webanno,"0,22"
D:\Projetos\_Web\ice,D:\Projetos\_Web\kafka-webview,"0,00"
D:\Projetos\_Web\ice,D:\Projetos\_Web\ice,"1,00"
D:\Projetos\_Web\ice,D:\Projetos\_Web\bonita-web,"0,29"
D:\Projetos\_Web\ice,D:\Projetos\_Web\optaweb-vehicle-routing,"0,32"
D:\Projetos\_Web\ice,D:\Projetos\_Web\openmrs-core,"0,50"
D:\Projetos\_Web\ice,D:\Projetos\_Web\heritrix3,"0,06"
D:\Projetos\_Web\ice,D:\Projetos\_Web\metl,"0,22"
D:\Projetos\_Web\ice,D:\Projetos\_Web\mes,"0,44"
D:\Projetos\_Web\ice,D:\Projetos\_Web\bamboobsc,"0,27"
D:\Projetos\_Web\ice,D:\Projetos\_Web\web-budget,"0,13"
D:\Projetos\_Web\ice,D:\Projetos\_Web\phenotips,"0,36"
D:\Projetos\_Web\ice,D:\Projetos\_Web\zanata-platform,"0,62"
D:\Projetos\_Web\ice,D:\Projetos\_Web\geowe-core,"0,12"
D:\Projetos\_Web\ice,D:\Projetos\_Web\bigbluebutton,"0,22"
D:\Projetos\_Web\ice,D:\Projetos\_Web\libreplan,"0,37"
D:\Projetos\_Web\ice,D:\Projetos\_Web\openmpf,"0,45"
D:\Projetos\_Web\ice,D:\Projetos\_Web\jbpm-wb,"0,19"
D:\Projetos\_Web\bonita-web,D:\Projetos\_Web\webprotege,"0,30"
