Project 01,Project 02,SimilarityResult [0-1]
D:\Projetos\_Web\webanno,D:\Projetos\_Web\Movie_Recommend,"0,50"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\openmrs-core,"0,33"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\heritrix3,"0,31"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\bamboobsc,"0,27"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\web-budget,"0,53"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\bigbluebutton,"0,41"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\DWSurvey,"0,50"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\Qchat,"0,53"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\OWASP-WebScarab,"0,03"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\libreplan,"0,42"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\Web-Karma,"0,52"
D:\Projetos\_Web\NGB,D:\Projetos\_Web\mytwitter,"0,30"
D:\Projetos\_Web\NGB,D:\Projetos\_Web\aet,"0,52"
D:\Projetos\_Web\NGB,D:\Projetos\_Web\webanno,"0,54"
D:\Projetos\_Web\NGB,D:\Projetos\_Web\NGB,"1,00"
D:\Projetos\_Web\NGB,D:\Projetos\_Web\slack-api,"0,37"
D:\Projetos\_Web\NGB,D:\Projetos\_Web\Movie_Recommend,"0,81"
D:\Projetos\_Web\NGB,D:\Projetos\_Web\openmrs-core,"0,65"
D:\Projetos\_Web\NGB,D:\Projetos\_Web\heritrix3,"0,33"
D:\Projetos\_Web\NGB,D:\Projetos\_Web\bamboobsc,"0,54"
D:\Projetos\_Web\NGB,D:\Projetos\_Web\web-budget,"0,66"
D:\Projetos\_Web\NGB,D:\Projetos\_Web\bigbluebutton,"0,26"
D:\Projetos\_Web\NGB,D:\Projetos\_Web\DWSurvey,"0,85"
D:\Projetos\_Web\NGB,D:\Projetos\_Web\Qchat,"0,34"
D:\Projetos\_Web\NGB,D:\Projetos\_Web\OWASP-WebScarab,"0,04"
D:\Projetos\_Web\NGB,D:\Projetos\_Web\libreplan,"0,65"
D:\Projetos\_Web\NGB,D:\Projetos\_Web\Web-Karma,"0,60"
D:\Projetos\_Web\slack-api,D:\Projetos\_Web\mytwitter,"0,29"
D:\Projetos\_Web\slack-api,D:\Projetos\_Web\aet,"0,47"
D:\Projetos\_Web\slack-api,D:\Projetos\_Web\webanno,"0,31"
D:\Projetos\_Web\slack-api,D:\Projetos\_Web\NGB,"0,37"
D:\Projetos\_Web\slack-api,D:\Projetos\_Web\slack-api,"1,00"
D:\Projetos\_Web\slack-api,D:\Projetos\_Web\Movie_Recommend,"0,42"
D:\Projetos\_Web\slack-api,D:\Projetos\_Web\openmrs-core,"0,14"
D:\Projetos\_Web\slack-api,D:\Projetos\_Web\heritrix3,"0,30"
D:\Projetos\_Web\slack-api,D:\Projetos\_Web\bamboobsc,"0,17"
D:\Projetos\_Web\slack-api,D:\Projetos\_Web\web-budget,"0,57"
D:\Projetos\_Web\slack-api,D:\Projetos\_Web\bigbluebutton,"0,15"
D:\Projetos\_Web\slack-api,D:\Projetos\_Web\DWSurvey,"0,35"
D:\Projetos\_Web\slack-api,D:\Projetos\_Web\Qchat,"0,18"
D:\Projetos\_Web\slack-api,D:\Projetos\_Web\OWASP-WebScarab,"0,01"
D:\Projetos\_Web\slack-api,D:\Projetos\_Web\libreplan,"0,34"
D:\Projetos\_Web\slack-api,D:\Projetos\_Web\Web-Karma,"0,55"
D:\Projetos\_Web\Movie_Recommend,D:\Projetos\_Web\mytwitter,"0,35"
D:\Projetos\_Web\Movie_Recommend,D:\Projetos\_Web\aet,"0,56"
D:\Projetos\_Web\Movie_Recommend,D:\Projetos\_Web\webanno,"0,50"
D:\Projetos\_Web\Movie_Recommend,D:\Projetos\_Web\NGB,"0,81"
D:\Projetos\_Web\Movie_Recommend,D:\Projetos\_Web\slack-api,"0,42"
D:\Projetos\_Web\Movie_Recommend,D:\Projetos\_Web\Movie_Recommend,"1,00"
D:\Projetos\_Web\Movie_Recommend,D:\Projetos\_Web\openmrs-core,"0,43"
D:\Projetos\_Web\Movie_Recommend,D:\Projetos\_Web\heritrix3,"0,35"
D:\Projetos\_Web\Movie_Recommend,D:\Projetos\_Web\bamboobsc,"0,81"
D:\Projetos\_Web\Movie_Recommend,D:\Projetos\_Web\web-budget,"0,68"
D:\Projetos\_Web\Movie_Recommend,D:\Projetos\_Web\bigbluebutton,"0,24"
D:\Projetos\_Web\Movie_Recommend,D:\Projetos\_Web\DWSurvey,"0,66"
D:\Projetos\_Web\Movie_Recommend,D:\Projetos\_Web\Qchat,"0,24"
D:\Projetos\_Web\Movie_Recommend,D:\Projetos\_Web\OWASP-WebScarab,"0,02"
D:\Projetos\_Web\Movie_Recommend,D:\Projetos\_Web\libreplan,"0,58"
D:\Projetos\_Web\Movie_Recommend,D:\Projetos\_Web\Web-Karma,"0,78"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\mytwitter,"0,12"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\aet,"0,24"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\webanno,"0,33"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\NGB,"0,65"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\slack-api,"0,14"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\Movie_Recommend,"0,43"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\openmrs-core,"0,99"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\heritrix3,"0,15"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\bamboobsc,"0,30"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\web-budget,"0,33"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\bigbluebutton,"0,21"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\DWSurvey,"0,58"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\Qchat,"0,31"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\OWASP-WebScarab,"0,04"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\libreplan,"0,39"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\Web-Karma,"0,23"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\mytwitter,"0,25"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\aet,"0,43"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\webanno,"0,31"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\NGB,"0,33"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\slack-api,"0,30"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\Movie_Recommend,"0,35"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\openmrs-core,"0,15"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\heritrix3,"0,99"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\bamboobsc,"0,15"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\web-budget,"0,50"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\bigbluebutton,"0,25"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\DWSurvey,"0,32"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\Qchat,"0,27"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\OWASP-WebScarab,"0,02"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\libreplan,"0,30"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\Web-Karma,"0,47"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\mytwitter,"0,14"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\aet,"0,23"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\webanno,"0,27"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\NGB,"0,54"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\slack-api,"0,17"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\Movie_Recommend,"0,81"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\openmrs-core,"0,30"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\heritrix3,"0,15"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\bamboobsc,"1,00"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\web-budget,"0,29"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\bigbluebutton,"0,15"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\DWSurvey,"0,41"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\Qchat,"0,14"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\OWASP-WebScarab,"0,07"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\libreplan,"0,33"
D:\Projetos\_Web\bamboobsc,D:\Projetos\_Web\Web-Karma,"0,51"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\mytwitter,"0,47"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\aet,"0,79"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\webanno,"0,53"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\NGB,"0,66"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\slack-api,"0,57"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\Movie_Recommend,"0,68"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\openmrs-core,"0,33"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\heritrix3,"0,50"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\bamboobsc,"0,29"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\web-budget,"1,00"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\bigbluebutton,"0,30"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\DWSurvey,"0,66"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\Qchat,"0,41"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\OWASP-WebScarab,"0,06"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\libreplan,"0,59"
D:\Projetos\_Web\web-budget,D:\Projetos\_Web\Web-Karma,"0,89"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\mytwitter,"0,14"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\aet,"0,34"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\webanno,"0,41"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\NGB,"0,26"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\slack-api,"0,15"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\Movie_Recommend,"0,24"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\openmrs-core,"0,21"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\heritrix3,"0,25"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\bamboobsc,"0,15"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\web-budget,"0,30"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\bigbluebutton,"0,96"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\DWSurvey,"0,31"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\Qchat,"0,68"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\OWASP-WebScarab,"0,06"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\libreplan,"0,21"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\Web-Karma,"0,29"
D:\Projetos\_Web\DWSurvey,D:\Projetos\_Web\mytwitter,"0,31"
D:\Projetos\_Web\DWSurvey,D:\Projetos\_Web\aet,"0,52"
D:\Projetos\_Web\DWSurvey,D:\Projetos\_Web\webanno,"0,50"
D:\Projetos\_Web\DWSurvey,D:\Projetos\_Web\NGB,"0,85"
D:\Projetos\_Web\DWSurvey,D:\Projetos\_Web\slack-api,"0,35"
D:\Projetos\_Web\DWSurvey,D:\Projetos\_Web\Movie_Recommend,"0,66"
D:\Projetos\_Web\DWSurvey,D:\Projetos\_Web\openmrs-core,"0,58"
D:\Projetos\_Web\DWSurvey,D:\Projetos\_Web\heritrix3,"0,32"
D:\Projetos\_Web\DWSurvey,D:\Projetos\_Web\bamboobsc,"0,41"
D:\Projetos\_Web\DWSurvey,D:\Projetos\_Web\web-budget,"0,66"
D:\Projetos\_Web\DWSurvey,D:\Projetos\_Web\bigbluebutton,"0,31"
D:\Projetos\_Web\DWSurvey,D:\Projetos\_Web\DWSurvey,"1,00"
D:\Projetos\_Web\DWSurvey,D:\Projetos\_Web\Qchat,"0,39"
D:\Projetos\_Web\DWSurvey,D:\Projetos\_Web\OWASP-WebScarab,"0,06"
D:\Projetos\_Web\DWSurvey,D:\Projetos\_Web\libreplan,"0,58"
D:\Projetos\_Web\DWSurvey,D:\Projetos\_Web\Web-Karma,"0,54"
D:\Projetos\_Web\Qchat,D:\Projetos\_Web\mytwitter,"0,16"
D:\Projetos\_Web\Qchat,D:\Projetos\_Web\aet,"0,39"
D:\Projetos\_Web\Qchat,D:\Projetos\_Web\webanno,"0,53"
D:\Projetos\_Web\Qchat,D:\Projetos\_Web\NGB,"0,34"
D:\Projetos\_Web\Qchat,D:\Projetos\_Web\slack-api,"0,18"
D:\Projetos\_Web\Qchat,D:\Projetos\_Web\Movie_Recommend,"0,24"
D:\Projetos\_Web\Qchat,D:\Projetos\_Web\openmrs-core,"0,31"
D:\Projetos\_Web\Qchat,D:\Projetos\_Web\heritrix3,"0,27"
D:\Projetos\_Web\Qchat,D:\Projetos\_Web\bamboobsc,"0,14"
D:\Projetos\_Web\Qchat,D:\Projetos\_Web\web-budget,"0,41"
D:\Projetos\_Web\Qchat,D:\Projetos\_Web\bigbluebutton,"0,68"
D:\Projetos\_Web\Qchat,D:\Projetos\_Web\DWSurvey,"0,39"
D:\Projetos\_Web\Qchat,D:\Projetos\_Web\Qchat,"1,00"
D:\Projetos\_Web\Qchat,D:\Projetos\_Web\OWASP-WebScarab,"0,05"
D:\Projetos\_Web\Qchat,D:\Projetos\_Web\libreplan,"0,27"
D:\Projetos\_Web\Qchat,D:\Projetos\_Web\Web-Karma,"0,34"
D:\Projetos\_Web\OWASP-WebScarab,D:\Projetos\_Web\mytwitter,"0,01"
D:\Projetos\_Web\OWASP-WebScarab,D:\Projetos\_Web\aet,"0,04"
D:\Projetos\_Web\OWASP-WebScarab,D:\Projetos\_Web\webanno,"0,03"
D:\Projetos\_Web\OWASP-WebScarab,D:\Projetos\_Web\NGB,"0,04"
D:\Projetos\_Web\OWASP-WebScarab,D:\Projetos\_Web\slack-api,"0,01"
D:\Projetos\_Web\OWASP-WebScarab,D:\Projetos\_Web\Movie_Recommend,"0,02"
D:\Projetos\_Web\OWASP-WebScarab,D:\Projetos\_Web\openmrs-core,"0,04"
D:\Projetos\_Web\OWASP-WebScarab,D:\Projetos\_Web\heritrix3,"0,02"
D:\Projetos\_Web\OWASP-WebScarab,D:\Projetos\_Web\bamboobsc,"0,07"
D:\Projetos\_Web\OWASP-WebScarab,D:\Projetos\_Web\web-budget,"0,06"
D:\Projetos\_Web\OWASP-WebScarab,D:\Projetos\_Web\bigbluebutton,"0,06"
D:\Projetos\_Web\OWASP-WebScarab,D:\Projetos\_Web\DWSurvey,"0,06"
D:\Projetos\_Web\OWASP-WebScarab,D:\Projetos\_Web\Qchat,"0,05"
D:\Projetos\_Web\OWASP-WebScarab,D:\Projetos\_Web\OWASP-WebScarab,"1,00"
D:\Projetos\_Web\OWASP-WebScarab,D:\Projetos\_Web\libreplan,"0,08"
D:\Projetos\_Web\OWASP-WebScarab,D:\Projetos\_Web\Web-Karma,"0,13"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\mytwitter,"0,29"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\aet,"0,47"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\webanno,"0,42"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\NGB,"0,65"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\slack-api,"0,34"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\Movie_Recommend,"0,58"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\openmrs-core,"0,39"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\heritrix3,"0,30"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\bamboobsc,"0,33"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\web-budget,"0,59"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\bigbluebutton,"0,21"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\DWSurvey,"0,58"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\Qchat,"0,27"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\OWASP-WebScarab,"0,08"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\libreplan,"1,00"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\Web-Karma,"0,57"
D:\Projetos\_Web\Web-Karma,D:\Projetos\_Web\mytwitter,"0,48"
D:\Projetos\_Web\Web-Karma,D:\Projetos\_Web\aet,"0,74"
D:\Projetos\_Web\Web-Karma,D:\Projetos\_Web\webanno,"0,52"
D:\Projetos\_Web\Web-Karma,D:\Projetos\_Web\NGB,"0,60"
D:\Projetos\_Web\Web-Karma,D:\Projetos\_Web\slack-api,"0,55"
D:\Projetos\_Web\Web-Karma,D:\Projetos\_Web\Movie_Recommend,"0,78"
D:\Projetos\_Web\Web-Karma,D:\Projetos\_Web\openmrs-core,"0,23"
D:\Projetos\_Web\Web-Karma,D:\Projetos\_Web\heritrix3,"0,47"
D:\Projetos\_Web\Web-Karma,D:\Projetos\_Web\bamboobsc,"0,51"
D:\Projetos\_Web\Web-Karma,D:\Projetos\_Web\web-budget,"0,89"
D:\Projetos\_Web\Web-Karma,D:\Projetos\_Web\bigbluebutton,"0,29"
D:\Projetos\_Web\Web-Karma,D:\Projetos\_Web\DWSurvey,"0,54"
D:\Projetos\_Web\Web-Karma,D:\Projetos\_Web\Qchat,"0,34"
D:\Projetos\_Web\Web-Karma,D:\Projetos\_Web\OWASP-WebScarab,"0,13"
D:\Projetos\_Web\Web-Karma,D:\Projetos\_Web\libreplan,"0,57"
D:\Projetos\_Web\Web-Karma,D:\Projetos\_Web\Web-Karma,"0,99"
