Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
org.archive.crawler.event.CrawlURIDispositionEvent,getCrawlURI,null,3,1,2,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.writer.WARCWriterProcessor,getWriteRequests,null,3,1,1,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.reporting.AlertThreadGroup,setThreadLogger,null,3,1,2,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.recrawl.hbase.SingleColumnJsonRecrawlDataSchema,setColumn,null,3,1,5,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.util.JSONUtils,putAllLongs,null,5,2,4,2,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.util.PaddingStringBuffer,append,null,13,3,3,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.reporting.CrawlerLoggerModule,finishCheckpoint,null,2,1,1,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.canonicalize.BaseRule,checkForNull,null,3,2,1,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.deciderules.FetchStatusDecideRule,getStatusCodes,null,3,1,3,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.frontier.AbstractFrontier,beginDisposition,null,4,1,3,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.prefetch.FrontierPreparer,getCostAssignmentPolicy,null,3,1,2,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.framework.CrawlController,killThread,null,3,1,3,2,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.util.BdbUriUniqFilter,startCheckpoint,null,2,1,1,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.CrawlURI,getDataList,null,6,2,3,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.restlet.ScriptingConsole,getCrawlJob,null,3,1,1,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.selftest.SelfTestBase,getSeedsString,null,3,1,1,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.frontier.URIAuthorityBasedQueueAssignmentPolicy,setDeferToPrevious,null,3,1,1,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.prefetch.Preselector,setBlockAll,null,3,1,1,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.credential.HttpAuthenticationCredential,isPrerequisite,null,3,1,2,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.CrawlMetadata,getJobName,null,3,1,1,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.postprocessor.DispositionProcessor,setMetadata,null,3,1,2,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.deciderules.ScriptedDecideRule,afterPropertiesSet,null,5,2,2,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.spring.SheetOverlaysManager,removeSheetOverlay,null,7,2,4,2,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.deciderules.surt.SurtPrefixedDecideRule,nonseedLine,null,9,2,3,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.reporting.CrawlerLoggerModule,format,null,3,2,3,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.apache.commons.httpclient.HttpMethodBase,getResponseHeader,null,8,2,2,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.util.BdbUriUniqFilter,createKey,null,5,1,4,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.net.MostFavoredRobotsPolicy,setCandidateUserAgents,null,3,1,2,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.io.Arc2Warc,getRevision,null,3,1,2,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.deciderules.SeedAcceptDecideRule,innerDecide,null,6,2,2,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.util.fingerprint.ArrayLongFPCache,cacheLength,null,3,1,1,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.extractor.UnitTestUriLoggerModule,testOnlyInItagPriorityNoLimit,null,8,1,3,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.apache.commons.httpclient.HttpConnection,setSocketTimeout,null,6,2,2,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.recrawl.PersistLoadProcessorTest,testHistory,null,2,1,0,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.util.BloomUriUniqFilterTest,receive,null,3,1,2,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.util.ObjectIdentityBdbCache,doctoredGet,null,8,2,4,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.frontier.AbstractFrontier,setRetryDelaySeconds,null,3,1,2,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.net.CrawlServer,setHttpAuthChallenges,null,3,1,2,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.util.iterator.CompositeIterator,add,null,3,1,2,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.net.ClientFTP,getReplyStrings,null,3,1,1,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.prefetch.QuotaEnforcer,getHostMaxFetchResponses,null,3,1,1,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.processor.LexicalCrawlMapper,setFrontier,null,3,1,2,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.apache.commons.httpclient.HttpState,getProxyCredentials,null,4,1,5,2,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.restlet.XmlMarshaller,getXmlWriter,null,6,1,2,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.writer.MirrorWriterProcessor,getTooLongDirectory,null,3,1,2,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.extractor.ExtractorHTML,setIgnoreUnexpectedHtml,null,3,1,1,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.spring.ConfigPathEditor,setAsText,null,3,1,1,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.extractor.Extractor,getExtractorParameters,null,3,1,1,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.spring.DecideRuledSheetAssociation,getRules,null,3,1,1,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.selftest.SelfTestBase,verify,null,0,1,0,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.util.JndiUtils,(static_block),null,0,1,0,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.Heritrix,usage,null,5,1,6,2,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.util.BdbUriUniqFilterTest,getUri,null,3,1,1,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.frontier.AbstractFrontier,addedSeed,null,3,1,1,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.util.BenchmarkBlooms,main,null,3,1,2,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
