Class,Method,Smell,Tecnicas,Commit,Refactoring,Left Side,Right Side
org.libreplan.web.planner.order.OrderPlanningModel,setConfigurationToPlanner,Muitos Parametros,"[A, R, D, V, X]",28e56f8ae19f717a048e90e26fa4479ad1909425,EXTRACT_OPERATION,"public setConfigurationToPlanner(planner Planner, order Order, switcher ViewSwitcher, editTaskController EditTaskController, advancedAllocationTaskController AdvancedAllocationTaskController, advanceAssignmentPlanningController AdvanceAssignmentPlanningController, advanceConsolidationController AdvanceConsolidationController, calendarAllocationController CalendarAllocationController, additional List<ICommand<TaskElement>>) : void","private getZoomLevel(configuration PlannerConfiguration<TaskElement>, order Order) : ZoomLevel"
org.libreplan.web.planner.order.OrderPlanningModel,setConfigurationToPlanner,Muitos Parametros,"[A, R, D, V, X]",c610ccd14029824a68d98ae3cbca2672c419241b,EXTRACT_OPERATION,"public setConfigurationToPlanner(planner Planner, order Order, switcher ViewSwitcher, editTaskController EditTaskController, advancedAllocationTaskController AdvancedAllocationTaskController, advanceAssignmentPlanningController AdvanceAssignmentPlanningController, advanceConsolidationController AdvanceConsolidationController, calendarAllocationController CalendarAllocationController, additional List<ICommand<TaskElement>>) : void","private getZoomLevel(configuration PlannerConfiguration<TaskElement>, order Order) : ZoomLevel"
org.libreplan.web.planner.order.OrderPlanningModel,setConfigurationToPlanner,Muitos Parametros,"[A, R, D, V, X]",abe2313b6953d1a969b88ea22f0aeff454ea8b88,INLINE_OPERATION,"public configureInitialZoomLevelFor(planner Planner, defaultZoomLevel ZoomLevel) : void","public setConfigurationToPlanner(planner Planner, order Order, switcher ViewSwitcher, editTaskController EditTaskController, advancedAllocationTaskController AdvancedAllocationTaskController, advanceAssignmentPlanningController AdvanceAssignmentPlanningController, advanceConsolidationController AdvanceConsolidationController, calendarAllocationController CalendarAllocationController, additional List<ICommand<TaskElement>>) : void"
org.libreplan.business.test.scenarios.bootstrap.ScenariosBootstrapTest,execute,Muitos Desvios,[D],,,,
org.libreplan.web.resources.worker.WorkerCRUDController,save,Muitos Desvios,[D],,,,
org.libreplan.business.planner.daos.ResourceAllocationDAO,onlyAllocationsWithActiveCriterion,Muitos Parametros,"[A, V, X]",,,,
org.libreplan.web.resources.search.NewAllocationSelectorController,appendLabelResource,Metodo Longo,[D],,,,
org.libreplan.web.users.OrderAuthorizationController,addOrderAuthorization,Muitos Desvios,"[R, D, V]",,,,
org.libreplan.web.calendars.BaseCalendarModel,updateException,Muitos Parametros,"[A, V]",,,,
org.libreplan.web.reports.WorkingArrangementsPerOrderModel,getWorkingArrangementsPerOrderReportReport,Muitos Parametros,"[A, R, D, V, X]",,,,
org.libreplan.business.planner.entities.DerivedDayAssignment,create,Muitos Parametros,"[A, D, V, X]",,,,
org.libreplan.web.dashboard.DashboardModel,calculateHistogramIntervals,Metodo Longo,"[A, R, D, V, X]",02fcc8a93ce5dd60a1ccc8bca9f9809b14d20e2e,EXTRACT_OPERATION,"public calculateEstimationAccuracy() : Map<IntegerInterval,Integer>","private calculateHistogramIntervals(values List<Double>, intervalsNumber int, intervalMinimumSize int) : Map<IntegerInterval,Integer>"
org.libreplan.business.orders.daos.OrderDAO,getOrderCostsPerResource,Muitos Desvios,"[A, R, D, V, X]",,,,
org.libreplan.web.planner.limiting.allocation.LimitingResourceAllocationController,init,Alto Acoplamento Efferent,"[D, V]",,,,
org.libreplan.web.workreports.WorkReportCRUDController,showInvalidValues,Muitos Desvios,[D],,,,
org.libreplan.web.orders.OrderElementTreeModelTest,checkUnindentOrderLineWithCriteriaAndAdvances,Muitos Desvios,"[D, V]",,,,
org.libreplan.web.orders.ManageOrderElementAdvancesController,appendRemoveButton,Muitos Desvios,"[D, V]",,,,
org.libreplan.ws.calendars.impl.CalendarConverter,update,Muitos Desvios,"[A, R, D, V, X]",,,,
org.libreplan.business.calendars.entities.CalendarBootstrap,loadRequiredData,Metodo Longo,[D],,,,
org.libreplan.web.resources.search.NewAllocationSelectorController,validate,Metodo Longo,[D],,,,
org.libreplan.business.costcategories.entities.CostCategory,validateCostCategoryOverlapping,Muitos Desvios,"[A, R, D, V, X]",,,,
org.libreplan.web.limitingresources.LimitingResourcesPanel,selectsFirstLevel,Muitos Desvios,[D],,,,
org.libreplan.business.test.planner.daos.TaskElementDAOTest,createOrderLine,Alto Acoplamento Efferent,"[D, V]",,,,
org.libreplan.business.test.expensesheet.daos.ExpenseSheetTestDAO,validExpenseSheetData,Metodo Longo,"[D, V]",,,,
org.libreplan.web.test.ws.resources.api.ResourceServiceTest,createMachineDTOWithTwoCriterionSatisfactions,Muitos Parametros,"[A, R, D, V, X]",,,,
org.libreplan.web.planner.allocation.GenericAllocationRow,create,Alto Acoplamento Efferent,[D],,,,
org.libreplan.web.resources.worker.WorkerCRUDController,confirmRemove,Muitos Desvios,[D],,,,
org.libreplan.web.users.services.LDAPCustomAuthenticationProvider,retrieveUser,Muitos Desvios,[V],,,,
org.libreplan.business.orders.entities.HoursGroupHandler,updateHoursGroups,Metodo Longo,[V],,,,
org.libreplan.web.orders.ManageOrderElementAdvancesController,appendDateboxDate,Metodo Longo,"[D, V]",,,,
org.libreplan.ws.common.impl.OrderElementConverter,updateExceptCriterionRequirements,Alto Acoplamento Efferent,"[A, R, D, V, X]",,,,
org.libreplan.web.orders.ManageOrderElementAdvancesController,appendComboboxAdvanceType,Metodo Longo,"[D, V]",,,,
org.libreplan.ws.common.impl.OrderElementConverter,toDTO,Muitos Desvios,"[A, R, D, V, X]",,,,
org.libreplan.web.test.ws.resources.api.ResourceServiceTest,createMachineDTOWithTwoCostsAssignments,Muitos Parametros,"[A, R, D, V, X]",,,,
