Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side
com.zegoggles.smssync.service.CalendarSyncer,syncCalendar,Alto Acoplamento Efferent,17,4,13,1,"[A, R, D, V, X]",3b0fbb47593619175fa6e6586d462caca005ba46,EXTRACT_AND_MOVE_OPERATION,public syncCalendar(result ConversionResult) : void,"public formatForCalendar(callType int, number String, duration int) : String"
com.zegoggles.smssync.service.CalendarSyncer,syncCalendar,Alto Acoplamento Efferent,17,4,13,1,"[A, R, D, V, X]",3b0fbb47593619175fa6e6586d462caca005ba46,EXTRACT_AND_MOVE_OPERATION,public syncCalendar(result ConversionResult) : void,"public getMapList() : List<Map<String,String>>"
com.zegoggles.smssync.service.BackupQueryBuilder,groupSelection,Muitos Parametros,8,4,6,2,[V],3e1035238d03ded0d221494a88be0fd797d45e6b,EXTRACT_AND_MOVE_OPERATION,"private groupSelection(type DataType, group ContactGroup) : String",public isEveryBody() : boolean
com.zegoggles.smssync.mail.MessageGenerator,messageFromMapCallLog,Alto Acoplamento Efferent,38,10,16,1,"[A, R, D, V, X]",7b01ea66ea455db5967ea2b5e1ac64a379864798,EXTRACT_AND_MOVE_OPERATION,"public messageFromMapCallLog(msgMap Map<String,String>) : Message","public format(callType int, number String, duration int) : String"
com.zegoggles.smssync.receiver.SmsBroadcastReceiver,log,Alto Acoplamento Efferent,6,2,6,3,"[D, V]",6286127f77546378fd2206347a2f9382a7bc3f61,EXTRACT_OPERATION,private shouldSchedule(context Context) : boolean,"private log(context Context, message String, appLog boolean) : void"
com.zegoggles.smssync.receiver.SmsBroadcastReceiver,log,Alto Acoplamento Efferent,6,2,6,3,"[D, V]",79f7a970e514aa86bd801a6733eab5f06a538f21,EXTRACT_VARIABLE,0,loginInformationSet : boolean
com.zegoggles.smssync.contacts.ContactAccessorPost20,getGroupContactIds,Muitos Parametros,10,4,5,2,[V],3e1035238d03ded0d221494a88be0fd797d45e6b,EXTRACT_AND_MOVE_OPERATION,"public getGroupContactIds(context Context, group ContactGroup) : GroupContactIds","public add(id long, rawId long) : void"
com.zegoggles.smssync.mail.MessageConverter,getMessageMap,Muitos Desvios,21,4,7,1,[V],6139034f985217b22d8557abdde937f57cb17524,EXTRACT_OPERATION,"public convertMessages(cursor Cursor, maxEntries int, dataType DataType) : ConversionResult","private getMessageMap(cursor Cursor) : Map<String,String>"
com.zegoggles.smssync.service.RestoreTask,doInBackground,Metodo Longo,58,19,17,1,"[A, R, D, V, X]",8e14ad79888c53f0cd2b946c81888cf0badebf17,EXTRACT_OPERATION,protected doInBackground(params RestoreConfig...) : RestoreState,private restore(config RestoreConfig) : RestoreState
com.zegoggles.smssync.service.BackupTask,doInBackground,Metodo Longo,52,13,19,1,"[A, R, V, X]",0355091497614e63a0251d2418b46ff30e9fb66e,EXTRACT_OPERATION,protected doInBackground(params BackupConfig...) : BackupState,"private handleAuthError(config BackupConfig, e XOAuth2AuthenticationFailedException) : BackupState"
