Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
 V ,UNDEFINED,com.zegoggles.smssync.preferences.Preferences,shouldShowAboutDialog,18,3,7,0,Muitos Desvios
 V ,UNDEFINED,com.zegoggles.smssync.mail.MessageGenerator,includePersonInBackup,5,3,5,2,Muitos Desvios
 V ,SERVICE,com.zegoggles.smssync.service.SmsBackupService,handleIntent,12,6,4,1,Muitos Desvios
 V ,UNDEFINED,com.zegoggles.smssync.auth.TokenRefresher,refreshUsingOAuth2Client,9,3,6,2,Muitos Desvios
" A, R, D, V, X ",UNDEFINED,com.zegoggles.smssync.mail.MmsSupport,getMMSBodyParts,24,8,11,1,Muitos Desvios
 V ,UNDEFINED,com.zegoggles.smssync.mail.MessageConverter,markAsSeen,18,6,3,2,Metodo Longo
 V ,SERVICE,com.zegoggles.smssync.service.SmsBackupService,scheduleNextBackup,13,4,6,1,Alto Acoplamento Efferent
 V ,UNDEFINED,com.zegoggles.smssync.service.BackupJobs,schedule,18,9,6,3,Metodo Longo
" A, R, D, V, X ",[TRUSTEDSOCKETFACTORY],com.zegoggles.smssync.mail.AllTrustedSocketFactory,createSocket,14,2,7,4,Muitos Parametros
 V ,ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,onCreate,23,1,0,1,Metodo Longo
" A, R, D, V, X ",UNDEFINED,com.zegoggles.smssync.utils.ListPreferenceHelper,initListPreference,29,8,0,3,Muitos Desvios
" D, V ",APPLICATION,com.zegoggles.smssync.App,onCreate,28,2,0,0,Metodo Longo
 V ,UNDEFINED,com.zegoggles.smssync.preferences.Preferences,isFirstUse,9,3,2,0,Muitos Desvios
 V ,TEST,com.zegoggles.smssync.service.BackupItemsFetcherTest,mockMostRecentTimestampForType,7,1,6,2,Alto Acoplamento Efferent
 V ,ASYNCTASK,com.zegoggles.smssync.service.BackupTask,handleAuthError,25,5,8,2,Muitos Parametros
" A, V, X ",UNDEFINED,com.zegoggles.smssync.preferences.AuthPreferences,setOauth2Token,5,1,2,3,Muitos Parametros
 V ,UNDEFINED,com.zegoggles.smssync.service.state.State,transition,0,1,3,2,Muitos Parametros
