Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
" D, V ",GENERICFORWARDCOMPOSER,org.libreplan.web.orders.materials.AssignedMaterialsController,showSplitMaterialAssignmentDlg,26,4,11,1,Alto Acoplamento Efferent
 V ,SERVICE,org.libreplan.web.users.services.LDAPUserDetailsService,loadUserByUsername,16,4,10,1,Alto Acoplamento Efferent
 V ,ENTITY,org.libreplan.business.common.entities.EntitySequence,create,3,1,4,3,Muitos Parametros
 V ,ENTITY,org.libreplan.web.common.IntegrationEntityModel,setCodeAutogenerated,18,5,1,1,Muitos Desvios
 V ,UNDEFINED,org.libreplan.web.common.Util,findOrCreate,7,2,6,3,Muitos Parametros
 V ,ENTITY,org.libreplan.business.advance.entities.AdvanceAssignment,changeAdvanceTypeInParents,13,4,4,3,Muitos Parametros
 V ,UNDEFINED,org.libreplan.business.planner.entities.EffortDistributor,withAvailableCapacity,11,3,8,3,Muitos Parametros
 V ,MODEL,org.libreplan.web.limitingresources.LimitingResourceQueueModel,getAllocationsToBeDone,14,3,9,3,Alto Acoplamento Efferent
 V ,GENERICFORWARDCOMPOSER,org.libreplan.web.costcategories.CostCategoryCRUDController,bindDateboxInitDate,26,1,0,2,Metodo Longo
" D, V ",TEST,org.libreplan.web.orders.OrderElementTreeModelTest,checkMoveOrderLineGroupWithCriterionOnChildToOrderLineGroupWithSameCriterion,41,7,6,0,Metodo Longo
" D, V ",GENERICFORWARDCOMPOSER,org.libreplan.web.orders.AssignedTaskQualityFormsToOrderElementController,set,24,6,2,1,Muitos Desvios
" D, V ",MODEL,org.libreplan.web.limitingresources.LimitingResourceQueueModel,userCanRead,16,6,9,2,Muitos Desvios
 V ,ENTITY,org.libreplan.business.orders.entities.OrderLineGroup,addMeasure,9,3,1,3,Muitos Parametros
 V ,LOADPERIODGENERATOR,org.libreplan.web.resourceload.LoadPeriodGeneratorOnCriterion,create,4,1,4,3,Muitos Parametros
 V ,UNDEFINED,org.libreplan.business.planner.limiting.entities.GapInterval,delimitByInterval,10,7,3,1,Muitos Desvios
 V ,UNDEFINED,org.libreplan.web.montecarlo.MonteCarloCriticalPathBuilder,getDestinations,20,6,8,1,Muitos Desvios
 V ,SERVICE,org.libreplan.web.planner.allocation.ResourceAllocationModel,initAllocationsFor,11,1,7,3,Muitos Parametros
 V ,ENTITY,org.libreplan.business.common.LibrePlanClassValidator,apply,23,7,9,1,Metodo Longo
 V ,XULELEMENT,org.zkoss.ganttz.DependencyComponent,afterCompose,26,2,0,0,Metodo Longo
 V ,[ICRITICALPATHCALCULABLE],org.zkoss.ganttz.data.GanttDiagramGraph,doRecalculations,14,4,9,2,Alto Acoplamento Efferent
" D, V ",[COMPOSER],org.libreplan.web.resourceload.ResourceLoadController,reloadInTransaction,29,6,7,0,Metodo Longo
 V ,TEST,org.libreplan.business.test.workreports.entities.WorkReportTypeTest,checkInvalidFieldNameDescriptionFields,26,4,4,0,Metodo Longo
 V ,SERVICE,org.libreplan.web.workreports.WorkReportTypeModel,validateWorkReportTypeCode,12,5,2,1,Muitos Desvios
 V ,HTMLMACROCOMPONENT,org.libreplan.web.templates.historicalAssignment.OrderElementHistoricalAssignmentComponent,view,24,6,11,1,Metodo Longo
" A, R, D, V, X ",TEST,org.libreplan.web.test.ws.resources.api.ResourceServiceTest,createMachineDTOWithTwoCostsAssignments,6,1,4,6,Muitos Parametros
" A, R, D, V, X ",SERVICE,org.libreplan.web.reports.HoursWorkedPerWorkerModel,getHoursWorkedPerWorkerReport,12,3,16,6,Alto Acoplamento Efferent
 V ,ENTITY,org.libreplan.business.resources.entities.Worker,checkConstraintUserNotBoundToOtherWorker,18,6,5,0,Muitos Desvios
 V ,ENTITY,org.libreplan.business.orders.entities.OrderLineGroup,calculateFakeDirectAdvanceAssignmentChildren,25,4,14,1,Metodo Longo
 V ,UNDEFINED,org.libreplan.business.planner.limiting.entities.LimitingResourceAllocator,getValidGapsForElementSince,15,3,10,3,Alto Acoplamento Efferent
" D, V ",ENTITY,org.libreplan.business.orders.entities.OrderElement,calculateSynchronizationsNeeded,34,13,4,1,Metodo Longo
 V ,[USERTYPE],org.libreplan.business.workingday.hibernate.ResourcesPerDayType,nullSafeSet,7,2,5,3,Muitos Parametros
 V ,UNDEFINED,org.libreplan.business.planner.limiting.entities.LimitingResourceAllocator,startTimeToAllocateStartingFromEnd,7,2,6,3,Muitos Parametros
 V ,UNDEFINED,org.libreplan.web.planner.order.SaveCommandBuilder,removeEmptyConsolidation,16,7,5,1,Muitos Desvios
 V ,UNDEFINED,org.libreplan.business.hibernate.notification.PredefinedDatabaseSnapshots,snapshot,3,1,6,3,Muitos Parametros
 V ,UNDEFINED,org.zkoss.ganttz.util.LongOperationFeedback,progressive,18,1,0,3,Muitos Parametros
" A, R, D, V, X ",TEST,org.libreplan.web.test.ws.unittypes.UnitTypeServiceTest,testAddAndUpdateMaterialCategory,58,1,0,0,Metodo Longo
 V ,[IPREDICATE],org.libreplan.web.planner.TaskElementPredicate,accepts,9,5,2,1,Muitos Desvios
 V ,TEST,org.libreplan.web.orders.OrderElementTreeModelTest,checkRemoveElementOnOnlyOrderLineWithCriteriaAndAdvances,60,1,10,0,Alto Acoplamento Efferent
 V ,UNDEFINED,org.libreplan.ws.calendars.impl.CalendarConverter,toEntity,22,6,10,1,Muitos Desvios
 V ,MODEL,org.libreplan.web.planner.order.OrderPlanningModel,setupLoadChart,4,1,6,3,Muitos Parametros
 V ,SERVICE,org.libreplan.web.calendars.BaseCalendarModel,checkAndChangeStartDate,23,8,4,2,Metodo Longo
 V ,UNDEFINED,org.libreplan.web.planner.order.PlanningStateCreator,createPlanning,20,3,11,1,Alto Acoplamento Efferent
 V ,[ITASKFUNDAMENTALPROPERTIES],org.zkoss.ganttz.data.Task,onStartDateChange,4,1,7,3,Muitos Parametros
 V ,ENTITY,org.libreplan.business.resources.entities.Resource,modifySatisfaction,27,5,7,2,Muitos Desvios
 V ,SERVICE,org.libreplan.web.reports.WorkingArrangementsPerOrderModel,getWorkingArrangementsPerOrderReportReport,27,6,16,5,Muitos Desvios
 V ,PERSISTENCE,org.libreplan.business.costcategories.daos.CostCategoryDAO,getPriceByResourceDateAndHourType,12,6,6,3,Muitos Parametros
" A, R, D, V, X ",PERSISTENCE,org.libreplan.business.resources.daos.ResourceDAO,getWorkingHoursPerWorker,53,25,9,6,Metodo Longo
 V ,UNDEFINED,org.libreplan.web.limitingresources.QueuesState,fillIncoming,12,4,5,3,Muitos Parametros
 V ,UNDEFINED,org.libreplan.web.users.dashboard.PersonalTimesheetDTO,toString,25,7,3,2,Muitos Desvios
" D, V ",GENERICFORWARDCOMPOSER,org.libreplan.web.resources.worker.WorkerCRUDController,confirmRemove,26,8,10,1,Alto Acoplamento Efferent
 V ,MODEL,org.libreplan.web.subcontract.ReportAdvancesModel,getStatus,15,5,4,1,Muitos Desvios
 V ,GENERICFORWARDCOMPOSER,org.libreplan.web.orders.ManageOrderElementAdvancesController,validateAdvanceMeasurement,22,5,3,1,Metodo Longo
" D, V ",ENTITY,org.libreplan.business.calendars.entities.BaseCalendar,createNewVersionInsideIntersection,40,10,7,2,Metodo Longo
 V ,GENERICFORWARDCOMPOSER,org.libreplan.web.resources.worker.WorkerCRUDController,updateWindowTitle,27,7,5,0,Metodo Longo
" A, R, D, V, X ",GENERICFORWARDCOMPOSER,org.libreplan.web.calendars.BaseCalendarCRUDController,render,83,4,0,2,Metodo Longo
 V ,ENTITY,org.libreplan.business.planner.entities.ResourceAllocation,calculateResourcesPerDayFromAssignments,22,4,10,1,Metodo Longo
" A, R, D, V, X ",PERSISTENCE,org.libreplan.business.orders.daos.OrderDAO,getCostExpenseSheet,30,12,10,4,Muitos Desvios
 V ,TEST,org.zkoss.ganttz.data.criticalpath.CriticalPathCalculatorTest,givenTwoTaskWithOneCommonDependantTask,19,1,6,3,Muitos Parametros
 V ,MULTIPLEFILTERSFINDER,org.libreplan.web.common.components.finders.ResourcesMultipleFiltersFinder,searchInCostCategories,11,5,4,1,Muitos Desvios
 V ,UNDEFINED,org.libreplan.web.tree.EntitiesTree,addOrderElementAt,8,2,4,3,Muitos Parametros
 V ,ENTITY,org.libreplan.business.orders.entities.OrderLine,setCode,11,6,3,1,Muitos Desvios
" D, V ",TEST,org.libreplan.business.test.planner.daos.TaskElementDAOTest,testSaveTaskElementUpdatesSumOfHoursAllocatedAttribute,37,1,0,0,Metodo Longo
 V ,TEST,org.libreplan.business.test.planner.chart.ContiguousDaysLineTest,hasSameValuesAs,24,1,0,1,Metodo Longo
 V ,TEST,org.libreplan.business.test.orders.daos.OrderDAOTest,createValidOrder,12,1,9,1,Alto Acoplamento Efferent
" D, V ",TEST,org.libreplan.business.test.expensesheet.daos.ExpenseSheetTestDAO,testSaveTwoValidExpenseSheets,34,4,7,0,Metodo Longo
 V ,TEST,org.libreplan.business.test.resources.entities.CriterionSatisfactionTest,testCriterionSatisfactionsStartComparator,16,3,9,0,Alto Acoplamento Efferent
 V ,UNDEFINED,org.zkoss.ganttz.util.LongOperationFeedback,execute,25,2,0,2,Metodo Longo
 V ,ENTITY,org.libreplan.business.resources.entities.Resource,checkNotOverlaps,17,5,6,1,Muitos Desvios
" R, D, V ",GENERICFORWARDCOMPOSER,org.libreplan.web.workreports.WorkReportCRUDController,appendHoursStartAndFinish,43,1,0,1,Metodo Longo
" A, R, D, V, X ",UNDEFINED,org.libreplan.ws.common.impl.OrderElementConverter,toDTO,56,14,28,2,Muitos Desvios
" D, V ",MODEL,org.libreplan.web.dashboard.DashboardModel,calculateHistogramIntervals,69,15,11,3,Alto Acoplamento Efferent
 V ,SERVICE,org.libreplan.web.reports.OrderCostsPerResourceModel,filteredOrderElementsByLabels,11,5,5,2,Muitos Desvios
" D, V ",[IPREDICATE],org.libreplan.web.orders.OrderPredicate,acceptFilter,17,7,3,2,Muitos Desvios
" R, V ",[ICOSTCALCULATOR],org.libreplan.business.planner.entities.HoursCostCalculator,getEstimatedCost,21,9,7,3,Muitos Desvios
" A, D, V, X ",ENTITY,org.libreplan.business.orders.entities.OrderLineGroup,mergeAdvanceMeasurements,143,20,7,4,Muitos Parametros
 V ,CRITERIONREQUIREMENTHANDLER,org.libreplan.business.templates.entities.CriterionRequirementTemplateHandler,copyIndirectCriterionRequirementsFromOriginalToOrderLineGroupChildren,17,4,9,2,Alto Acoplamento Efferent
 V ,TEST,org.libreplan.web.test.ws.basecalendars.BaseCalendarServiceTest,testAddInvalidBaseCalendar,15,1,10,0,Alto Acoplamento Efferent
 V ,UNDEFINED,org.libreplan.ws.resources.criterion.impl.CriterionConverter,addCriterion,9,2,3,3,Muitos Parametros
" D, V ",GENERICFORWARDCOMPOSER,org.libreplan.web.tree.TreeController,takeSnapshot,20,6,7,1,Muitos Desvios
 V ,GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,setConstraintsFor,28,1,0,1,Metodo Longo
 V ,ENTITY,org.libreplan.business.orders.entities.HoursGroup,copyDirectCriterionRequirements,10,2,6,3,Muitos Parametros
 V ,UNDEFINED,org.libreplan.web.planner.order.PlanningStateCreator,retrieveOrCreate,17,4,6,3,Muitos Parametros
 V ,UNDEFINED,org.libreplan.web.planner.allocation.Row,buildGenericRow,3,1,6,3,Muitos Parametros
" A, R, D, V, X ",SERVICE,org.libreplan.web.reports.TimeLineRequiredMaterialModel,getTimeLineRequiredMaterial,20,6,12,6,Muitos Parametros
" V, X ",PERSISTENCE,org.libreplan.business.orders.daos.OrderDAO,getOrdersByReadAuthorization,19,8,7,1,Muitos Desvios
 V ,GENERICFORWARDCOMPOSER,org.libreplan.web.orders.ManageOrderElementAdvancesController,validateListAdvanceMeasurement,20,5,7,0,Muitos Desvios
" D, V ",TEST,org.zkoss.ganttz.data.criticalpath.CriticalPathCalculatorTest,givenExample,34,1,6,1,Metodo Longo
" A, R, D, V, X ",TEST,org.libreplan.web.orders.OrderElementTreeModelTest,checkMoveOrderLineWithCriteriaAndAdvancesToOrderLineWithCriteriaAndAdvances,78,16,6,0,Metodo Longo
 V ,SERVICE,org.libreplan.web.resources.worker.WorkerModel,addSatisfaction,27,6,7,3,Muitos Desvios
 V ,UNDEFINED,org.zkoss.ganttz.data.criticalpath.CriticalPathCalculator,forward,44,11,9,3,Muitos Parametros
 V ,HTMLMACROCOMPONENT,org.libreplan.web.common.components.bandboxsearch.BandboxMultipleSearch,initBandbox,25,1,0,0,Metodo Longo
 V ,TEST,org.libreplan.business.test.orders.entities.OrderElementTest,checkValidPropagation,27,5,8,0,Muitos Desvios
 X ,PERSISTENCE,org.libreplan.business.planner.daos.ResourceAllocationDAO,getBaseQuery,3,1,7,0,Alto Acoplamento Efferent
" A, D, V, X ",TEST,org.zkoss.ganttz.data.criticalpath.CriticalPathCalculatorTest,givenTwoPairOfTasksNotConnected,22,1,6,4,Muitos Parametros
 V ,UNDEFINED,org.zkoss.ganttz.data.criticalpath.CriticalPathCalculator,backward,44,11,9,3,Muitos Parametros
 V ,ENTITY,org.libreplan.business.planner.entities.Task,isValidResourceAllocationWorkers,17,5,5,0,Muitos Desvios
 V ,UNDEFINED,org.libreplan.web.users.dashboard.PersonalTimesheetRow,render,24,6,5,2,Metodo Longo
" A, V, X ",UNDEFINED,org.libreplan.web.planner.tabs.LimitingResourcesTabCreator,create,3,1,5,4,Muitos Parametros
 V ,ENTITY,org.libreplan.business.planner.entities.ResourceAllocation,untilAllocating,35,1,0,3,Muitos Parametros
 V ,ENTITY,org.libreplan.business.costcategories.entities.CostCategory,createUnvalidated,8,2,3,3,Muitos Parametros
" D, V ",HTMLMACROCOMPONENT,org.zkoss.ganttz.LeftTasksTree,expandStateChanged,3,3,11,1,Alto Acoplamento Efferent
" A, R, D, V, X ",TEST,org.libreplan.web.test.ws.orders.OrderElementServiceTest,updateCriterionRequirements,78,1,0,0,Metodo Longo
" D, V ",TEST,org.libreplan.web.test.ws.labels.api.LabelServiceTest,importTwoValidLabelType,36,1,0,0,Metodo Longo
" D, V ",ENTITY,org.libreplan.business.scenarios.entities.Scenario,equals,21,8,3,1,Muitos Desvios
 V ,TEST,org.libreplan.business.common.test.dbunit.DBUnitTestExecutionListener,beforeTestMethod,16,2,9,1,Alto Acoplamento Efferent
 V ,MODEL,org.libreplan.web.planner.order.OrderPlanningModel,getPlotInfos,25,1,7,1,Metodo Longo
" D, V ",ENTITY,org.libreplan.business.planner.entities.ResourceAllocation,createDerived,11,3,10,1,Alto Acoplamento Efferent
" D, V ",GENERICFORWARDCOMPOSER,org.libreplan.web.planner.taskedition.TaskPropertiesController,onEvent,29,7,9,1,Muitos Desvios
" A, R, D, V, X ",UNDEFINED,org.libreplan.ws.workreports.impl.WorkReportConverter,updateWorkReportLine,55,13,16,2,Muitos Desvios
 V ,[ICOSTCALCULATOR],org.libreplan.business.planner.entities.HoursCostCalculator,getAdvanceCost,7,3,5,3,Muitos Parametros
 V ,UNDEFINED,org.libreplan.web.resources.criterion.CriterionDTO,asSet,10,2,6,3,Muitos Parametros
 V ,UNDEFINED,org.libreplan.ws.resources.impl.ResourceConverter,updateBasicData,15,5,9,2,Muitos Desvios
 V ,ENTITY,org.libreplan.business.planner.entities.consolidations.NonCalculatedConsolidation,create,3,1,4,3,Muitos Parametros
" A, D, V ",ENTITY,org.libreplan.business.resources.entities.LimitingResourceQueue,calculateGaps,18,5,12,0,Alto Acoplamento Efferent
 V ,DIV,org.libreplan.web.common.CustomMenuController,subItem,3,1,2,3,Muitos Parametros
" A, R, D, V, X ",ENTITY,org.libreplan.business.orders.entities.OrderLineGroup,mergeAdvanceMeasurements,143,20,7,4,Muitos Desvios
 V ,ENTITY,org.libreplan.business.planner.entities.ResourceAllocation,createAssignments,11,3,8,3,Muitos Parametros
 V ,ENTITY,org.libreplan.business.planner.limiting.entities.Gap,onQueue,4,2,6,3,Muitos Parametros
" A, V, X ",UNDEFINED,org.libreplan.business.planner.entities.EffortDistributor,distributeInOvertimeForDayRemainingEffort,15,3,6,4,Muitos Parametros
 V ,[COMPOSER],org.libreplan.web.resourceload.ResourceLoadController,pagesByName,22,3,0,2,Metodo Longo
 V ,TEST,org.libreplan.web.test.ws.subcontract.ReportAdvancesServiceTest,givenValidOrderAlreadyStored,22,2,9,0,Metodo Longo
