Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
" A, D, V ",TEST,org.mitre.mpf.wfm.camelOps.TestDetectionSplitter,testJobPropertiesResettingActionProperties,30,4,12,3,Alto Acoplamento Efferent
 V ,ERRORCOLLECTOR,org.mitre.mpf.mst.MpfErrorCollector,checkNowThat,12,3,7,3,Muitos Parametros
 X ,ENTITY,org.mitre.mpf.wfm.data.entities.persistent.StreamingJobRequest,setTimeReceived,3,1,2,1,Muitos Parametros
 V ,TEST,org.mitre.mpf.wfm.ITComponentRegistration,getFileEntity,9,1,9,1,Alto Acoplamento Efferent
 V ,CONTROLLER,org.mitre.mpf.mvc.controller.AdminComponentRegistrationController,handleAddComponentExceptions,21,6,5,2,Muitos Desvios
 V ,[JOBREQUESTBO],org.mitre.mpf.wfm.businessrules.impl.JobRequestBoImpl,cancel,29,6,11,1,Alto Acoplamento Efferent
" A, R, D, V, X ",CONTROLLER,org.mitre.mpf.mvc.controller.ServerMediaController,getAllFilesFiltered,20,9,15,7,Alto Acoplamento Efferent
" A, R, D, V, X ",SERVICE,org.mitre.mpf.wfm.service.component.AnsibleDeploymentService,runAnsibleDeploy,55,14,11,1,Metodo Longo
 V ,CONTROLLER,org.mitre.mpf.mvc.controller.BootoutController,timeout,11,2,7,3,Muitos Parametros
" A, R, D, V, X ",WFMPROCESSOR,org.mitre.mpf.wfm.camel.operations.detection.artifactextraction.ArtifactExtractionProcessorImpl,wfmProcess,58,13,12,1,Muitos Desvios
" D, V ",TEST,org.mitre.mpf.wfm.camelOps.TestMediaInspectionProcessor,testVideoInspectionInvalid,14,1,11,0,Alto Acoplamento Efferent
" A, D, V ",TEST,org.mitre.mpf.wfm.ITWebREST,test_NodeManager_shutdown_startService,82,11,12,0,Alto Acoplamento Efferent
 V ,UNDEFINED,org.mitre.mpf.wfm.service.component.TestDescriptorFactory,getWithCustomPipeline,37,3,15,0,Metodo Longo
" A, D, V, X ",TEST,org.mitre.mpf.mst.TestSystemOnDiff,runFeedForwardTest,13,1,8,4,Muitos Parametros
 X ,ENTITY,org.mitre.mpf.wfm.data.entities.persistent.JobRequest,setTimeCompleted,3,1,2,1,Muitos Parametros
 V ,SERVICE,org.mitre.mpf.wfm.service.PipelineServiceImpl,validateAction,32,9,10,1,Muitos Desvios
 V ,[COMPONENTDEPENDENCYFINDER],org.mitre.mpf.wfm.service.component.ComponentDependencyFinderImpl,beginProcess,12,2,9,1,Alto Acoplamento Efferent
 V ,SERVICE,org.mitre.mpf.wfm.service.component.AddComponentServiceImpl,saveService,34,4,9,2,Alto Acoplamento Efferent
" A, R, V ",WFMPROCESSOR,org.mitre.mpf.wfm.camel.JobCompleteProcessorImpl,wfmProcess,47,8,16,1,Metodo Longo
" A, R, D, V, X ",TEST,org.mitre.mpf.wfm.ITComponentLifecycle,undeployComponent,90,14,24,1,Muitos Desvios
 V ,ENTITY,org.mitre.mpf.wfm.data.entities.transients.Candidate,compareTo,12,5,5,1,Muitos Desvios
 V ,UNDEFINED,org.mitre.mpf.wfm.ui.Utils,safeSelectUiSelectByIndex,11,2,7,3,Muitos Parametros
 V ,SERVICE,org.mitre.mpf.wfm.service.component.AddComponentServiceImpl,registerComponent,39,7,10,1,Muitos Desvios
" A, R, D, V, X ",EXCEPTION,org.mitre.mpf.wfm.service.component.InvalidCustomPipelinesException,createMessage,7,1,5,8,Muitos Parametros
 V ,TEST,org.mitre.mpf.wfm.camelOps.TestDetectionSplitter,testDetectionSplitter,24,1,17,0,Metodo Longo
 V ,WFMPROCESSOR,org.mitre.mpf.wfm.camel.operations.mediaretrieval.RemoteMediaProcessor,wfmProcess,36,5,10,1,Alto Acoplamento Efferent
 V ,TEST,org.mitre.mpf.wfm.service.component.TestComponentReRegisterService,assertServiceAddedToNode,3,1,2,3,Muitos Parametros
" A, R, D, V, X ",UNDEFINED,org.mitre.mpf.wfm.camel.operations.detection.artifactextraction.StageArtifactExtractionPlan,addIndexToMediaExtractionPlan,6,2,6,5,Muitos Parametros
 V ,ENTITY,org.mitre.mpf.rest.api.StreamingJobCreationRequest,isValidRequest,8,5,1,0,Muitos Desvios
 V ,TEST,org.mitre.mpf.videooverlay.TestBoundingBoxMap,testPutAll,24,4,9,0,Metodo Longo
 V ,TEST,org.mitre.mpf.wfm.camelOps.TestDetectionResponseProcessor,testDetectionResponse,14,1,10,0,Alto Acoplamento Efferent
 V ,CONTROLLER,org.mitre.mpf.mvc.controller.AdminStatisticsController,updateSingleJobStatus,73,28,9,3,Muitos Parametros
" A, D, V, X ",SERVICE,org.mitre.mpf.wfm.service.PipelineServiceImpl,validateTask,37,10,13,1,Muitos Desvios
 V ,UNDEFINED,org.mitre.mpf.wfm.service.component.TestDescriptorFactory,get,36,1,8,0,Metodo Longo
 X ,ENTITY,org.mitre.mpf.wfm.data.entities.persistent.MarkupResult,setActionIndex,3,1,2,1,Muitos Parametros
 V ,TEST,org.mitre.mpf.wfm.camelOps.TestDetectionResponseProcessor,testSettingErrors,22,1,14,0,Metodo Longo
 V ,WFMPROCESSOR,org.mitre.mpf.wfm.camel.operations.mediainspection.MediaInspectionProcessor,wfmProcess,59,9,12,1,Muitos Desvios
 V ,ASYNCTASK,org.mitre.mpf.nms.BaseServiceLauncher,started,0,1,2,3,Muitos Parametros
" A, R, D, V, X ",CONTROLLER,org.mitre.mpf.mvc.controller.JobController,getJobStatusFiltered,36,17,14,5,Muitos Parametros
" D, V ",[CLUSTERCHANGENOTIFIER],org.mitre.mpf.wfm.nodeManager.NodeManagerStatus,init,40,9,8,1,Muitos Desvios
" A, R, D, V, X ",UNDEFINED,org.mitre.mpf.mst.OutputChecker,calculateOverlap,12,1,3,8,Muitos Parametros
