RELATÓRIO COMPLETO SISTEMA
Commit,Date Commit,Number Classes,Number Methods,System LOC
7f2fc4c09c0af57678d5b974e2d42e05c6a68ed7,13-03-2016 22:40:25,128,710,18054
b982fe2d98f8cfa7733ace76f66d5dcd4f3dc748,03-03-2016 14:12:07,128,700,17995
211aa353f97a62dfa0b2ed760f70951869ce167a,14-09-2015 13:59:48,108,522,14191
9bce40558a1253d09126a1dd816264a6cd410022,11-05-2017 21:36:33,154,901,22016
166385d94679c7baa41dfefb3c95f0b97d03dd50,05-04-2018 21:22:51,111,419,16752
3e70db4a8ab20bab5ef53065ee915bf780e08438,18-11-2018 18:56:50,142,555,17999
d7bfb69a02d645e76111682a2df2e9fc53ea9ff7,01-05-2018 23:54:27,120,517,16999
17cf8dbf2962801d264bbc0ef849f5f08f45d9dc,26-03-2018 23:06:45,111,406,16693
2ea99f1a6efd213cddc0b9899c91208e9a812dd2,30-09-2015 00:32:24,115,610,16289
Total de refatorações Métodos Smelly: ,35
Total de refatorações Métodos Not Smelly: ,211
Número de Métodos Não Smell Refatorados: ,184
Número de Métodos Smell Refatorados: ,33
Total de refatorações Métodos e Não Métodos:,1384
Métodos Smelly not refactored: ,66
LONG METHODS
False Positive (V) = ,10.0
False Positive (X) = ,9.0
False Positive (R) = ,1.0
False Positive (D) = ,2.0
True Positive  (V) = ,3.0
True Positive (X) = ,0.0
True Positive (R) = ,1.0
True Positive (D) = ,1.0
False Negative = ,78.0
Precision (V) = ,0.23076923
Precision (X) = ,0.0
Precision (R) = ,0.5
Precision (D) = ,0.33333334
Recall (V) = ,0.037037037
Recall (X) = ,0.0
Recall (R) = ,0.012658228
Recall (D) = ,0.012658228
F-measure (V) = ,0.063829795
F-measure (X) = ,0.0
F-measure (R) = ,0.024691358
F-measure (D) = ,0.024390245

COMPLEXITY METHOD
False Positive (V) = ,16.0
False Positive (X) = ,2.0
False Positive (R) = ,1.0
False Positive (D) = ,2.0
True Positive  (V) = ,2.0
True Positive (X) = ,0.0
True Positive (R) = ,1.0
True Positive (D) = ,1.0
False Negative = ,78.0
Precision (V) = ,0.11111111
Precision (X) = ,0.0
Precision (R) = ,0.5
Precision (D) = ,0.33333334
Recall (V) = ,0.025
Recall (X) = ,0.0
Recall (R) = ,0.012658228
Recall (D) = ,0.012658228
F-measure (V) = ,0.04081633
F-measure (X) = ,0.0
F-measure (R) = ,0.024691358
F-measure (D) = ,0.024390245

EFFERENT COUPLING
False Positive (V) = ,4.0
False Positive (X) = ,11.0
False Positive (R) = ,0.0
False Positive (D) = ,0.0
True Positive  (V) = ,2.0
True Positive (X) = ,1.0
True Positive (R) = ,1.0
True Positive (D) = ,1.0
False Negative = ,78.0
Precision (V) = ,0.33333334
Precision (X) = ,0.083333336
Precision (R) = ,1.0
Precision (D) = ,1.0
Recall (V) = ,0.025
Recall (X) = ,0.012658228
Recall (R) = ,0.012658228
Recall (D) = ,0.012658228
F-measure (V) = ,0.046511628
F-measure (X) = ,0.021978023
F-measure (R) = ,0.025
F-measure (D) = ,0.025

MANY PARAMETERS
False Positive (V) = ,13.0
False Positive (X) = ,6.0
False Positive (R) = ,2.0
False Positive (D) = ,0.0
True Positive  (V) = ,5.0
True Positive (X) = ,2.0
True Positive (R) = ,0.0
True Positive (D) = ,0.0
False Negative = ,133.0
Precision (V) = ,0.2777778
Precision (X) = ,0.25
Precision (R) = ,0.0
Precision (D) = ,0.0
Recall (V) = ,0.036231883
Recall (X) = ,0.014814815
Recall (R) = ,0.0
Recall (D) = ,0.0
F-measure (V) = ,0.06410257
F-measure (X) = ,0.027972026
F-measure (R) = ,0.0
F-measure (D) = ,0.0

