Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
flowctrl.integration.slack.webapi.SlackWebApiClientImpl,removeStarToFile,null,5,1,4,1,null,d6ec914b440c25dc16a96945e4d8a6a5d767a5bb,RENAME_METHOD,public removeStarToFileComment(file_comment String) : boolean,public removeStarFromFileComment(file_comment String) : boolean,
flowctrl.integration.slack.DndMethodTest,basciTest,null,15,1,8,0,null,07f36d9d38aade89d43996e3cbba798bce5bc2a4,RENAME_METHOD,public basciTest() : void,public basicTest() : void,
flowctrl.integration.slack.webapi.SlackWebApiClientImpl,removeStarToFileComment,null,5,1,4,1,null,d6ec914b440c25dc16a96945e4d8a6a5d767a5bb,RENAME_METHOD,public removeStarToFileComment(file_comment String) : boolean,public removeStarFromFileComment(file_comment String) : boolean,
flowctrl.integration.slack.webapi.method.channels.ChannelInfoMethod,validate,null,5,2,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.webapi.method.chats.ChatDeleteMethod,validate,null,8,3,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.webapi.method.oauth.OAuthAccessMethod,validate,null,11,4,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
allbegray.slack.webapi.method.groups.GroupCreateMethod,getChannel,null,3,1,1,0,null,414d537ccbd5542fdd81fa9692384e2a124363a0,RENAME_METHOD,public getChannel() : String,public getName() : String,
allbegray.slack.webapi.method.groups.GroupCreateMethod,setChannel,null,3,1,2,1,null,414d537ccbd5542fdd81fa9692384e2a124363a0,RENAME_METHOD,public setChannel(channel String) : void,public setName(channel String) : void,
flowctrl.integration.slack.SlackTextBuilder,text,null,4,1,3,1,null,1a22a42b0ce48777ed6dcc373c992d1a1aa3910a,RENAME_METHOD,public paragraphs(text String) : SlackTextBuilder,public paragraph(text String) : SlackTextBuilder,
flowctrl.integration.slack.webapi.method.channels.ChannelArchiveMethod,validate,null,5,2,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.webapi.SlackWebApiClientImpl,removeStarToMessage,null,6,1,4,2,null,d6ec914b440c25dc16a96945e4d8a6a5d767a5bb,RENAME_METHOD,"public removeStarToMessage(channel String, timestamp String) : boolean","public removeStarFromMessage(channel String, timestamp String) : boolean",
flowctrl.integration.slack.SlackSearchQueryBuilder,hasEmoji,null,12,4,2,1,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,EXTRACT_OPERATION,public hasEmoji(emojiName String) : SlackSearchQueryBuilder,"protected filter(filterName String, prefix String, text String, suffix String) : SlackSearchQueryBuilder",
flowctrl.integration.slack.method.ChannelNameValidatorTest,channelNameValidatorTest,null,29,2,6,0,null,7025ad2aef245321abaf7094fcf473cf20f4a288,MOVE_OPERATION,public channelNameValidatorTest() : void,public channelNameValidatorTest() : void,
flowctrl.integration.slack.webapi.SlackWebApiClientImpl,removeReactionToFileComment,null,5,1,4,2,null,d6ec914b440c25dc16a96945e4d8a6a5d767a5bb,RENAME_METHOD,"public removeReactionToFileComment(emojiName String, file_comment String) : boolean","public removeReactionFromFileComment(emojiName String, file_comment String) : boolean",
