Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
" A, D, V, X ",ENTITY,de.tudarmstadt.ukp.clarin.webanno.crowdflower.CrowdClient,orderJob,15,2,13,4,Muitos Parametros
 V ,VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.page.annotation.AnnotationPage,onClose,33,8,0,1,Muitos Desvios
" A, R, V, X ",RESOURCECOLLECTIONREADERBASE,de.tudarmstadt.ukp.clarin.webanno.webapp.dao.BinaryCasReader,getNext,51,7,17,1,Metodo Longo
" D, V ",ENTITY,de.tudarmstadt.ukp.clarin.webanno.crowdflower.NamedEntityTaskManager,getReaderForRawJudgments,14,3,9,1,Alto Acoplamento Efferent
" A, R, V, X ",JCASRESOURCECOLLECTIONREADER_IMPLBASE,de.tudarmstadt.ukp.clarin.webanno.tsv.WebannoTsvReader,setAnnotations,54,11,15,11,Metodo Longo
 V ,UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.project.ProjectUtil,isZipStream,20,5,5,1,Muitos Desvios
 X ,ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.CrowdJob,setApiKey,3,1,2,1,Muitos Parametros
" A, D, V ",TEST,de.tudarmstadt.ukp.clarin.webanno.webapp.statistics.TwoPairedKappaTest,testTwoUserDiffArcAnnotation,15,1,12,0,Alto Acoplamento Efferent
" A, R, V, X ",WEBMARKUPCONTAINER,de.tudarmstadt.ukp.clarin.webanno.brat.curation.component.CurationViewPanel,mergeArc,54,10,18,5,Metodo Longo
 V ,JCASRESOURCECOLLECTIONREADER_IMPLBASE,de.tudarmstadt.ukp.clarin.webanno.tcf.TcfReader,convertLemma,15,3,6,3,Muitos Parametros
 V ,VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.page.correction.CorrectionPage,onChange,22,5,18,1,Muitos Desvios
 V ,JCASRESOURCECOLLECTIONREADER_IMPLBASE,de.tudarmstadt.ukp.clarin.webanno.tcf.TcfReader,convertDependencies,54,10,8,3,Muitos Parametros
 V ,ENTITY,de.tudarmstadt.ukp.clarin.webanno.crowdflower.NamedEntityTaskManager,uploadNewNERTask1,27,5,11,5,Muitos Desvios
 X ,ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.SourceDocument,equals,24,8,4,1,Muitos Parametros
" A, R, D, V, X ",ENTITY,de.tudarmstadt.ukp.clarin.webanno.crowdflower.NamedEntityTaskManager,uploadNewNERTask2,97,18,22,4,Muitos Desvios
 V ,VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.page.correction.CorrectionPage,onClose,33,6,0,1,Muitos Desvios
 X ,ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.Authority,setAuthority,3,1,2,1,Muitos Parametros
" A, R, D, V, X ",ADAPTER,de.tudarmstadt.ukp.clarin.webanno.brat.controller.ArcAdapter,isDuplicate,8,5,3,6,Muitos Parametros
" A, D, V ",TEST,de.tudarmstadt.ukp.clarin.webanno.webapp.statistics.TwoPairedKappaTest,testTwoUserSameAnnotation,15,1,12,0,Alto Acoplamento Efferent
" A, R, D, V, X ",ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.TagSet,equals,29,10,5,1,Muitos Desvios
 V ,UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.curation.DoubleIterator,step,44,12,6,0,Metodo Longo
" A, R, D, V, X ",VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.page.monitoring.MonitoringPage,updateAgreementTable,57,13,29,1,Muitos Desvios
" A, R, V, X ",JCASFILEWRITER_IMPLBASE,de.tudarmstadt.ukp.clarin.webanno.tcf.TcfWriter,writeSentence,48,14,19,3,Muitos Desvios
 V ,ADAPTER,de.tudarmstadt.ukp.clarin.webanno.brat.controller.SpanAdapter,render,17,3,11,3,Alto Acoplamento Efferent
 V ,PANEL,de.tudarmstadt.ukp.clarin.webanno.webapp.page.project.ProjectUsersPanel,onSubmit,28,7,12,0,Metodo Longo
" A, R, D, V, X ",UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.controller.BratAjaxConfiguration,getChildren,30,6,13,8,Muitos Parametros
 V ,AUTHENTICATEDWEBAPPLICATION,de.tudarmstadt.ukp.clarin.webanno.webapp.WicketApplication,init,40,2,3,0,Metodo Longo
 V ,UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.project.ProjectUtil,createTagset,31,4,11,4,Alto Acoplamento Efferent
" A, R, V, X ",WEBMARKUPCONTAINER,de.tudarmstadt.ukp.clarin.webanno.brat.curation.component.CurationViewPanel,mergeSpan,19,4,11,5,Muitos Parametros
" A, R, D, V, X ",UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.controller.BratAjaxConfiguration,getChildren,30,6,13,8,Alto Acoplamento Efferent
" A, R, D, V, X ",VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.security.page.ManageUsersPage,validate,12,5,16,1,Alto Acoplamento Efferent
" A, R, D, V, X ",PANEL,de.tudarmstadt.ukp.clarin.webanno.webapp.page.project.ProjectDocumentsPanel,onSubmit,41,8,20,0,Alto Acoplamento Efferent
 V ,PERSISTENCE,de.tudarmstadt.ukp.clarin.webanno.webapp.dao.RepositoryServiceDbData,getReadableFormatId,12,5,2,1,Muitos Desvios
 V ,ADAPTER,de.tudarmstadt.ukp.clarin.webanno.brat.controller.ChainAdapter,renderChains,28,8,9,4,Alto Acoplamento Efferent
 V ,JCASFILEWRITER_IMPLBASE,de.tudarmstadt.ukp.clarin.webanno.tcf.TcfWriter,writeNamedEntity,24,7,13,3,Metodo Longo
" A, V, X ",ADAPTER,de.tudarmstadt.ukp.clarin.webanno.brat.controller.SpanAdapter,updateCas,23,7,8,4,Muitos Parametros
 X ,ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.User,encodePassword,7,2,5,1,Muitos Parametros
 V ,UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.controller.BratAjaxConfiguration,configureVisualizationAndAnnotation,46,10,10,1,Alto Acoplamento Efferent
 V ,VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.page.crowdsource.CrowdSourcePage,onSubmit,37,8,17,0,Muitos Desvios
