Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
 V ,TEST,org.archive.settings.file.PrefixFinderTest,doTest,36,8,11,0,Metodo Longo
" A, D, V, X ",VIEW,org.archive.crawler.frontier.AbstractFrontier,importRecoverFormat,56,12,17,5,Muitos Parametros
" A, R, D, V, X ",PROCESSOR,org.archive.modules.writer.WARCWriterProcessor,writeResponse,20,1,8,6,Muitos Parametros
 V ,FILEHANDLER,org.archive.io.GenerationFileHandler,makeNew,4,1,5,3,Muitos Parametros
 V ,PERSISTENCE,org.archive.io.RecordingOutputStream,tailRecord,19,4,6,3,Muitos Parametros
" A, V, X ",PROCESSOR,org.archive.modules.writer.WARCWriterProcessor,writeDnsRecords,23,3,7,4,Muitos Parametros
" A, V, X ",ENTITY,org.archive.util.ObjectIdentityBdbCache,getOrUse,56,12,9,2,Muitos Desvios
 V ,PROCESSOR,org.archive.modules.fetcher.FetchHTTP,setOtherCodings,15,4,7,3,Muitos Parametros
 V ,ASYNCTASK,org.archive.crawler.framework.ToePool,setSize,24,6,3,1,Muitos Desvios
 V ,DECIDERULE,org.archive.modules.deciderules.ExternalGeoLocationDecideRule,evaluate,35,8,12,1,Metodo Longo
 V ,DECIDERULE,org.archive.modules.deciderules.TransclusionDecideRule,evaluate,29,9,8,1,Metodo Longo
" A, V, X ",PERSISTENCE,org.archive.util.zip.OpenJDK7InflaterInputStream,read,29,12,8,3,Muitos Desvios
" A, D, V, X ",PERSISTENCE,org.archive.io.RecordingInputStream,readFullyOrUntil,41,13,10,1,Muitos Desvios
 V ,[ITERABLE],org.archive.modules.ProcessorChain,process,26,8,7,2,Metodo Longo
 V ,ENTITY,org.archive.spring.ConfigPathConfigurer,fixupPaths,26,11,7,2,Metodo Longo
 V ,PROCESSOR,org.archive.crawler.processor.HashCrawlMapper,mapString,12,5,6,3,Muitos Parametros
 V ,ABSTRACTFRONTIER,org.archive.crawler.frontier.WorkQueueFrontier,activateInactiveQueue,29,6,10,0,Metodo Longo
 V ,TEST,org.archive.util.ArchiveUtilsTest,run,18,5,1,0,Muitos Desvios
 V ,PROCESSOR,org.archive.modules.fetcher.FetchHTTP,extractChallenges,18,5,9,3,Muitos Desvios
 V ,ENTITY,org.archive.crawler.frontier.WorkQueue,reportTo,38,2,4,1,Metodo Longo
