Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side
org.weasis.dicom.explorer.pref.node.DefaultDicomNode,buildDicomNodeEx,null,5,1,5,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.gui.util.AppProperties,buildAccessibleTempDirectory,null,18,4,5,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.gui.util.MouseActionAdapter,isInverse,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.model.utils.imp.DefaultViewModel,getModelOffsetX,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.model.utils.imp.DefaultViewModel,getModelOffsetY,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.codec.geometry.GeometryOfSlice,getTLHC,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.model.utils.bean.AdvancedShape,contains,null,9,4,4,2,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.model.graphic.imp.line.PolylineGraphicTest,getXmlFilePathCase0,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.pref.LabelsPrefView,resetoDefaultValues,null,8,1,4,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.model.utils.imp.DefaultDragSequence,drag,null,10,3,5,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.gui.util.GhostGlassPane,setIcon,null,3,1,2,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.model.graphic.imp.line.ParallelLineGraphicTest,getXmlFilePathCase1,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.model.graphic.imp.angle.FourPointsAngleToolGraphicTest,getXmlFilePathCase1,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.image.LutShape,(static_block),null,0,1,0,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.acquire.explorer.gui.central.AcquireCentralInfoPanel,refreshGUI,null,7,1,2,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.model.graphic.imp.area.ThreePointsCircleGraphic,getUIName,null,3,1,2,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.gui.task.CircularProgressBar,paintIcon,null,9,1,4,2,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.model.graphic.imp.angle.FourPointsAngleToolGraphicTest,getXmlFilePathCase0,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.viewer2d.InfoLayer,findGeometricSuite,null,8,2,3,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.codec.geometry.GeometryOfSlice,getVoxelSpacingArray,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.explorer.pref.node.AbstractDicomNode,getFilename,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.model.graphic.imp.line.ParallelLineGraphicTest,getXmlFilePathCase0,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.model.graphic.imp.area.RectangleGraphicTest,getExpectedDeserializeCompleteGraphic,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.base.viewer2d.View2d,mousePressed,null,3,1,1,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.media.data.MediaSeriesGroupNode,toString,null,4,2,3,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.codec.PresentationStateReader,setTag,null,3,1,3,2,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.viewer2d.EventManager,zoom,null,10,3,5,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.acquire.explorer.AcquireImageValues,setContrast,null,3,1,2,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.explorer.wado.LoadSeries,call,null,15,3,4,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.base.explorer.JIThumbnailCache,getDiskObject,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.base.viewer2d.InfoLayer,setName,null,3,1,2,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.codec.display.PresetWindowLevel,getKeyCode,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.model.graphic.imp.NonEditableGraphic,getStroke,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.viewer2d.mpr.RawImageIO,getTagEntrySetIterator,null,3,1,2,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.image.op.MaxCollectionZprojection,run,null,9,1,0,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.base.explorer.list.AThumbnailList,isDicomMedia,null,9,3,3,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.openjpeg.cpp.openjpeg,y1,null,0,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.openjpeg.cpp.openjpeg,y0,null,0,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.pref.ZoomSetting,setLensHeight,null,3,1,2,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.codec.DicomMediaIO,containTagKey,null,3,1,3,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.util.LocalUtil,setLocaleFormat,null,9,2,3,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.ui.editor.image.DefaultView2d,center,null,4,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.core.api.image.measure.MeasurementsAdapter,getXUncalibratedValue,null,3,1,1,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.imageio.codec.ImageElementIO,getCodec,null,3,1,1,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.viewer2d.InfoLayer,setName,null,3,1,2,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.openjpeg.NativeJ2kImageReaderSpi,getDescription,null,3,1,2,1,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
org.weasis.dicom.viewer2d.EventManager,newDefaulPresetAction,null,8,1,0,0,null,84c7519a765bd841cd2d46f53de2e1231ed15ca5,,,
