Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
de.tudarmstadt.ukp.clarin.webanno.brat.display.model.EntityType,setFgColor,null,3,1,1,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.message.CreateArcResponse,setEdited,null,3,1,1,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.dao.RepositoryServiceDbData,createAnnotationDocument,null,10,2,2,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.model.SourceDocument,getSentenceAccessed,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.crowdflower.NamedEntityTask2Data,setText,null,3,1,2,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.crowdflower.CrowdJob,getExcludedCountries,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.component.model.CurationUserSegmentForAnnotationDocument,setDocumentResponse,null,3,1,2,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.statistics.TwoPairedKappa,getPosition,null,10,3,5,2,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.annotation.BratAnnotationDocumentVisualizer,getModel,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.message.GetCollectionInformationResponse,getHeader,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.component.model.CurationBuilder,getEntryTypes,null,10,4,5,2,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.model.CrowdJob,getLink,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.display.model.EntityType,hashCode,null,7,3,2,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.crowdflower.NamedEntityTask1Data,get_hidden,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.export.model.Project,getMode,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.page.monitoring.MonitoringPage,onEvent,null,13,1,1,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.message.ReverseArcResponse,getAnnotations,null,3,1,2,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.crowdflower.NamedEntityTask2Data,getPosText,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.display.model.Entity,setType,null,3,1,1,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.export.model.AnnotationDocument,setUser,null,3,1,2,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.page.annotation.component.FinishLink,onClick,null,18,2,0,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.message.GetDocumentResponse,setSourceFiles,null,3,1,1,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.DoubleIteratorTest,setBooleanValue,null,3,1,3,2,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.crowdflower.NamedEntityTask2Data,getDocOffset,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.dkpro.core.api.metadata.type.TagsetDescription,getName,null,4,3,2,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.page.project.SettingsPageBase,newConverterLocator,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.page.project.ProjectPage,isVisible,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.CompareResult,getDiffs,null,3,1,2,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.model.Tag,getName,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.component.model.CurationUserSegmentForAnnotationDocument,setAnnotationSelection,null,3,1,2,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.annotation.BratAnnotatorModel,getUser,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.controller.SpanAdapter,setSingleTokenBehavior,null,3,1,1,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.dao.DaoUtils,zipFolder,null,10,1,3,2,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.annotation.BratAnnotator,getModel,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.annotation.BratAnnotator,onChange,null,2,1,2,2,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.dialog.OpenModalWindowPanel,(static_block),null,0,1,0,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.dkpro.core.api.metadata.type.TagsetDescription,getTypeIndexID,null,3,1,2,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.message.GetCollectionInformationResponse,setNerTaggers,null,3,1,1,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.DoubleIterator,hasNext,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.message.GetDocumentResponse,setEntities,null,3,1,1,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.crowdflower.NamedEntityTask2Data,setDocument,null,3,1,2,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.dao.RepositoryServiceDbData,getCorrectionDocumentContent,null,3,1,2,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.dao.RepositoryServiceDbData,existsProjectTimeStamp,null,11,3,4,2,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.message.GetCollectionInformationResponse,isAnnotationLogging,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.security.SpringAuthenticatedWebSession,injectDependencies,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.component.model.CurationViewForSourceDocument,getSentenceAddress,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.message.GetDocumentResponse,getComments,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
