Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
br.com.webbudget.domain.entities.journal.Refueling,calculateAverageComsumption,Alto Acoplamento Efferent,5,3,3,2,[X],b66a5cbe23869154248d25a5881f3b6388796682,RENAME_METHOD,public calculateAverageComsumption() : void,public calculateAverageConsumption() : void,
br.com.webbudget.domain.entities.journal.Refueling,calculateAverageComsumption,Alto Acoplamento Efferent,5,3,3,2,[X],b66a5cbe23869154248d25a5881f3b6388796682,RENAME_METHOD,"public calculateAverageComsumption(totalDistance long, liters BigDecimal) : void","public calculateAverageConsumption(totalDistance long, liters BigDecimal) : void",
br.com.webbudget.domain.entities.financial.Movement,isDeletable,Alto Acoplamento Efferent,3,1,2,0,[X],6db522c3014b3cf041ed6be92e163c3eec5af63d,PUSH_DOWN_OPERATION,public isDeletable() : boolean,public isDeletable() : boolean,
br.com.webbudget.domain.model.entity.movement.FixedMovement,removeApportionment,Metodo Longo,10,3,3,1,[X],6e4888dcbd357f36fe542c1b9426b4ac6e5bde10,INLINE_OPERATION,private addDeletedApportionment(apportionment Apportionment) : void,public removeApportionment(code String) : void,
br.com.webbudget.infraestructure.config.SecurityInitializer,checkForDefaultUsers,Alto Acoplamento Efferent,27,2,14,0,"[A, R, D, X]",4916b913ddb74b24e297b6e6b3c188ca6cc1e9a5,INLINE_OPERATION,private checkForDefaultUsers() : void,protected initialize() : void,
br.com.webbudget.domain.model.security.Group,getRoles,Alto Acoplamento Efferent,3,1,3,0,[X],e3d753028c3309575f8cbe3ac3c966e565b18f86,RENAME_METHOD,public getRoles() : List<Role>,public getGrants() : List<Grant>,
br.com.webbudget.domain.model.entity.movement.Movement,removeApportionment,Muitos Desvios,10,3,3,1,[X],6e4888dcbd357f36fe542c1b9426b4ac6e5bde10,INLINE_OPERATION,private addDeletedApportionment(apportionment Apportionment) : void,public removeApportionment(code String) : void,
br.com.webbudget.domain.entities.financial.Movement,getApportionmentsTotal,Alto Acoplamento Efferent,3,1,2,0,[X],46ffe86603fa5c315fe166ccc9c1f4b599b99479,RENAME_METHOD,public getApportionmentsTotal() : BigDecimal,public calculateApportionmentsTotal() : BigDecimal,
br.com.webbudget.application.components.table.LazyModel,load,Muitos Parametros,5,1,5,4,"[A, R, D, X]",17b21f494e55a821e898ba5bd328b9ab0eede47d,EXTRACT_OPERATION,"public load(first int, pageSize int, multiSortMeta List<SortMeta>, filters Map<String,Object>) : List<T>",private countAndReturn(data List<T>) : List<T>,
br.com.webbudget.application.components.table.LazyModel,load,Muitos Parametros,5,1,5,4,"[A, R, D, X]",17b21f494e55a821e898ba5bd328b9ab0eede47d,EXTRACT_OPERATION,"public load(first int, pageSize int, sortField String, sortOrder SortOrder, filters Map<String,Object>) : List<T>",private countAndReturn(data List<T>) : List<T>,
