DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
UNDEFINED,org.openmrs.module.ModuleConditionalResource,16,1,2,24,0,16,5,40,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\module\ModuleConditionalResource.java,class,false,142
BASEOPENMRSOBJECT,org.openmrs.api.db.ClobDatatypeStorage,4,2,1,2,0,4,0,4,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\ClobDatatypeStorage.java,class,false,57
[CUSTOMTASKCHANGE],org.openmrs.util.databasechange.MigrateAllergiesChangeSet,7,1,7,19,0,7,21,29,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\util\databasechange\MigrateAllergiesChangeSet.java,class,false,173
SERIALIZINGCUSTOMDATATYPE,org.openmrs.customdatatype.datatype.ProgramDatatype,1,4,4,0,0,1,3,3,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\customdatatype\datatype\ProgramDatatype.java,class,false,37
UNDEFINED,org.openmrs.module.Module,80,1,11,2958,0,80,44,127,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\module\Module.java,class,false,800
UNDEFINED,org.openmrs.api.db.hibernate.HibernateUtil,7,1,11,13,0,7,32,21,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateUtil.java,class,false,172
TEST,org.openmrs.api.AdministrationServiceTest,60,3,17,0,0,60,96,64,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\AdministrationServiceTest.java,class,false,838
TEST,org.openmrs.util.ExceptionUtilTest,2,1,2,1,0,2,12,9,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\util\ExceptionUtilTest.java,class,false,89
TEST,org.openmrs.validator.StateConversionValidatorTest,4,3,8,6,0,4,16,4,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\validator\StateConversionValidatorTest.java,class,false,94
ABSTRACTCONTEXTLOADER,org.openmrs.web.test.TestContextLoader,4,2,8,6,0,4,4,4,D:\Projetos\_Web\openmrs-core\web\src\test\java\org\openmrs\web\test\TestContextLoader.java,class,false,53
TEST,org.openmrs.propertyeditor.ConceptAnswerEditorTest,2,4,5,1,0,2,1,2,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\ConceptAnswerEditorTest.java,class,false,32
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateLocationDAO,26,1,10,0,0,26,40,58,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateLocationDAO.java,class,false,364
SERVICE,org.openmrs.api.impl.EncounterServiceImpl,57,2,29,666,0,57,156,179,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\impl\EncounterServiceImpl.java,class,false,989
UNDEFINED,org.openmrs.util.databasechange.DatabaseUpgradeTestUtil,9,1,6,0,0,9,46,21,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\util\databasechange\DatabaseUpgradeTestUtil.java,class,false,253
UNDEFINED,org.openmrs.util.NaturalStrings,10,1,0,45,0,10,11,78,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\util\NaturalStrings.java,class,false,361
BASEOPENMRSOBJECT,org.openmrs.Drug,26,4,10,295,0,26,17,38,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\Drug.java,class,false,279
TEST,org.openmrs.validator.ConceptReferenceTermValidatorTest,18,3,10,153,0,18,23,18,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\validator\ConceptReferenceTermValidatorTest.java,class,false,310
SERVICE,org.openmrs.api.impl.LocationServiceImpl,42,2,13,0,0,42,60,79,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\impl\LocationServiceImpl.java,class,false,511
ENTITY,org.openmrs.module.VersionComparator,1,1,0,0,0,1,1,1,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\module\VersionComparator.java,class,false,36
[ORDERNUMBERGENERATOR],org.openmrs.orders.TimestampOrderNumberGenerator,1,1,3,0,0,1,3,5,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\orders\TimestampOrderNumberGenerator.java,class,false,39
[TRANSFORMOPERATOR],org.openmrs.logic.op.First,1,1,1,0,0,1,0,1,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\logic\op\First.java,class,false,28
ENTITY,org.openmrs.obs.ComplexData,9,1,0,20,0,9,2,9,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\obs\ComplexData.java,class,false,124
EXCEPTION,org.openmrs.api.ShortPasswordException,2,4,1,1,0,2,0,2,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\ShortPasswordException.java,class,false,32
BASEOPENMRSOBJECT,org.openmrs.api.db.LoginCredential,18,2,3,135,0,18,4,18,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\LoginCredential.java,class,false,166
[IDENTIFIERVALIDATOR],org.openmrs.patient.impl.BaseHyphenatedIdentifierValidator,7,1,2,21,2,7,13,53,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\patient\impl\BaseHyphenatedIdentifierValidator.java,class,false,178
TEST,org.openmrs.propertyeditor.EncounterEditorTest,2,4,5,1,0,2,1,2,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\EncounterEditorTest.java,class,false,32
H2DIALECT,org.openmrs.util.databasechange.H2LessStrictDialect,1,2,1,0,0,1,2,1,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\util\databasechange\H2LessStrictDialect.java,class,false,41
TEST,org.openmrs.web.WebUtilTest,15,1,2,105,0,15,8,18,D:\Projetos\_Web\openmrs-core\web\src\test\java\org\openmrs\web\WebUtilTest.java,class,false,159
BASEOPENMRSOBJECT,org.openmrs.TestOrder,16,4,9,90,0,16,22,16,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\TestOrder.java,class,false,197
UNDEFINED,org.openmrs.util.GlobalPropertiesTestHelper,3,1,2,0,0,3,6,5,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\util\GlobalPropertiesTestHelper.java,class,false,42
ENTITY,org.openmrs.module.DaemonToken,2,1,0,0,0,2,0,2,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\module\DaemonToken.java,class,false,38
TEST,org.openmrs.BaseCustomizableMetadataTest,5,3,9,4,0,5,24,5,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\BaseCustomizableMetadataTest.java,class,false,108
UNDEFINED,org.openmrs.obs.handler.AbstractHandler,8,1,3,26,5,8,34,20,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\obs\handler\AbstractHandler.java,class,false,171
BASEOPENMRSOBJECT,org.openmrs.Encounter,47,4,18,959,0,47,105,117,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\Encounter.java,class,false,759
BASEOPENMRSOBJECT,org.openmrs.hl7.HL7Source,6,4,1,9,0,6,2,6,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\hl7\HL7Source.java,class,false,70
BASEOPENMRSOBJECT,org.openmrs.ConceptAttributeType,4,5,3,4,0,4,2,4,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\ConceptAttributeType.java,class,false,36
[SAVEHANDLER],org.openmrs.api.handler.RequireVoidReasonSaveHandler,1,1,5,0,0,1,4,3,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\handler\RequireVoidReasonSaveHandler.java,class,false,53
UNDEFINED,org.openmrs.annotation.OpenmrsProfile1_10,0,1,2,0,0,0,0,0,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\annotation\OpenmrsProfile1_10.java,class,false,19
[LIST],org.openmrs.Allergies,32,1,4,0,0,32,30,55,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\Allergies.java,class,false,347
[VALIDATOR],org.openmrs.validator.PersonNameValidator,4,1,5,6,0,4,23,27,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\validator\PersonNameValidator.java,class,false,167
TEST,org.openmrs.module.ModuleUtilTest,56,3,5,1540,0,56,56,62,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\module\ModuleUtilTest.java,class,false,733
TEST,org.openmrs.api.impl.DiagnosisServiceImplTest,12,3,12,0,0,12,44,20,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\impl\DiagnosisServiceImplTest.java,class,false,234
TEST,org.openmrs.api.impl.SerializationServiceImplTest,9,1,9,34,0,9,6,9,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\impl\SerializationServiceImplTest.java,class,false,115
UNDEFINED,org.openmrs.api.db.hibernate.search.SearchQuery,8,1,3,24,0,8,2,14,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\search\SearchQuery.java,class,false,83
ENTITY,org.openmrs.propertyeditor.PrivilegeEditor,3,2,3,3,0,3,10,12,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\propertyeditor\PrivilegeEditor.java,class,false,75
UNDEFINED,org.openmrs.annotation.OpenmrsProfile1_10WithHtmlformentry,0,1,2,0,0,0,0,0,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\annotation\OpenmrsProfile1_10WithHtmlformentry.java,class,false,19
SERIALIZINGCUSTOMDATATYPE,org.openmrs.customdatatype.datatype.BooleanDatatype,2,2,3,1,0,2,3,6,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\customdatatype\datatype\BooleanDatatype.java,class,false,45
TEST,org.openmrs.api.handler.PatientDataUnvoidHandlerTest,3,3,12,3,0,3,48,7,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\handler\PatientDataUnvoidHandlerTest.java,class,false,186
TEST,org.openmrs.propertyeditor.PatientIdentifierTypeEditorTest,2,4,5,1,0,2,1,2,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\PatientIdentifierTypeEditorTest.java,class,false,32
TEST,org.openmrs.validator.PatientValidatorTest,7,4,12,21,0,7,33,9,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\validator\PatientValidatorTest.java,class,false,195
SERVICE,org.openmrs.hl7.impl.HL7ServiceImpl,56,2,35,468,0,56,197,228,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\hl7\impl\HL7ServiceImpl.java,class,false,1218
TEST,org.openmrs.util.DrugsByNameComparatorTest,4,1,3,6,0,4,3,4,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\util\DrugsByNameComparatorTest.java,class,false,80
UNDEFINED,org.openmrs.api.cache.CachePropertiesUtil,7,1,7,21,0,7,28,10,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\cache\CachePropertiesUtil.java,class,false,107
BASEOPENMRSOBJECT,org.openmrs.Visit,24,5,10,220,0,24,8,28,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\Visit.java,class,false,238
TEST,org.openmrs.validator.ConceptNameTagValidatorTest,7,3,5,21,0,7,11,7,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\validator\ConceptNameTagValidatorTest.java,class,false,131
BASEOPENMRSOBJECT,org.openmrs.OrderSet,14,4,5,85,0,14,13,27,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\OrderSet.java,class,false,183
