DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
PROCESSOR,org.archive.modules.extractor.ExtractorXML,5,4,9,8,0,5,38,23,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\extractor\ExtractorXML.java,class,false,174
TEST,org.archive.modules.net.RobotstxtTest,9,2,4,36,0,9,23,9,D:\Projetos\_Web\heritrix3\modules\src\test\java\org\archive\modules\net\RobotstxtTest.java,class,false,208
UNDEFINED,org.archive.util.ProcessUtils,10,1,3,3,0,10,21,20,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\util\ProcessUtils.java,class,false,151
UNDEFINED,org.archive.crawler.util.LogUtils,1,1,1,0,0,1,12,5,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\util\LogUtils.java,class,false,77
TEST,org.archive.crawler.selftest.CheckpointSelfTest,9,4,8,28,0,9,19,17,D:\Projetos\_Web\heritrix3\engine\src\test\java\org\archive\crawler\selftest\CheckpointSelfTest.java,class,false,212
DECIDERULE,org.archive.modules.deciderules.ResourceLongerThanDecideRule,1,4,1,0,0,1,1,1,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\deciderules\ResourceLongerThanDecideRule.java,class,false,42
[URIUNIQFILTER],org.archive.crawler.util.FPMergeUriUniqFilter,22,1,7,127,1,22,32,66,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\util\FPMergeUriUniqFilter.java,class,false,358
LINKCONTEXT,org.archive.modules.extractor.HTMLLinkContext,5,2,2,0,0,5,2,27,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\extractor\HTMLLinkContext.java,class,false,101
URI,org.archive.net.UURIFactory,21,2,8,202,0,21,60,121,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\net\UURIFactory.java,class,false,802
ENTITY,org.archive.crawler.framework.CrawlController,72,1,28,2060,0,72,49,123,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\CrawlController.java,class,false,674
RESOURCE,org.archive.crawler.restlet.JobResource,11,3,17,6,0,11,133,137,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\restlet\JobResource.java,class,false,637
ENTITY,org.archive.crawler.reporting.CrawlerLoggerModule,43,1,13,782,0,43,51,62,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\reporting\CrawlerLoggerModule.java,class,false,469
TEST,org.archive.crawler.postprocessor.LinksScoperTest,0,5,1,0,0,0,0,0,D:\Projetos\_Web\heritrix3\engine\src\test\java\org\archive\crawler\postprocessor\LinksScoperTest.java,class,false,34
TEST,org.archive.crawler.util.TopNSetTest,4,2,2,6,0,4,7,5,D:\Projetos\_Web\heritrix3\engine\src\test\java\org\archive\crawler\util\TopNSetTest.java,class,false,70
SEEDMODULE,org.archive.modules.seeds.TextSeedModule,13,2,6,63,0,13,37,35,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\seeds\TextSeedModule.java,class,false,258
UNDEFINED,org.archive.io.WriterPool,13,1,3,40,0,13,29,28,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\io\WriterPool.java,class,false,279
QUEUEASSIGNMENTPOLICY,org.archive.crawler.frontier.IPQueueAssignmentPolicy,3,4,6,0,0,3,4,5,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\frontier\IPQueueAssignmentPolicy.java,class,false,55
TEST,org.archive.modules.extractor.ExtractorHTTPTest,0,4,1,0,0,0,0,0,D:\Projetos\_Web\heritrix3\modules\src\test\java\org\archive\modules\extractor\ExtractorHTTPTest.java,class,false,32
TEST,org.archive.util.fingerprint.MemLongFPSetTest,5,3,5,10,0,5,2,5,D:\Projetos\_Web\heritrix3\commons\src\test\java\org\archive\util\fingerprint\MemLongFPSetTest.java,class,false,67
ABSTRACTQUEUE,org.archive.bdb.StoredQueue,10,2,9,0,0,10,19,24,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\bdb\StoredQueue.java,class,false,162
UNDEFINED,org.archive.io.arc.ARC2WCDX,5,1,7,10,0,5,46,32,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\io\arc\ARC2WCDX.java,class,false,243
DIALOG,org.archive.crawler.restlet.EditRepresentation,5,2,6,0,0,5,19,5,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\restlet\EditRepresentation.java,class,false,120
TEST,org.archive.bdb.StoredQueueTest,13,3,6,4,0,13,26,20,D:\Projetos\_Web\heritrix3\commons\src\test\java\org\archive\bdb\StoredQueueTest.java,class,false,160
BASERULE,org.archive.modules.canonicalize.StripWWWRule,2,2,1,1,0,2,3,2,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\canonicalize\StripWWWRule.java,class,false,54
PROCESSOR,org.archive.modules.recrawl.PersistProcessor,11,3,11,43,0,11,55,39,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\recrawl\PersistProcessor.java,class,false,352
ENVIRONMENT,org.archive.util.bdbje.EnhancedEnvironment,4,2,7,4,0,4,7,10,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\util\bdbje\EnhancedEnvironment.java,class,false,99
ENTITY,org.archive.modules.net.Robotstxt,9,1,5,24,0,9,33,51,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\net\Robotstxt.java,class,false,259
CONFIGPATHEDITOR,org.archive.spring.ConfigFileEditor,1,2,2,0,0,1,1,1,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\spring\ConfigFileEditor.java,class,false,33
SETBASEDURIUNIQFILTER,org.archive.crawler.util.BloomUriUniqFilter,8,2,4,6,0,8,9,12,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\util\BloomUriUniqFilter.java,class,false,118
PRECEDENCEPROVIDER,org.archive.crawler.frontier.precedence.SimplePrecedenceProvider,3,2,1,0,0,3,0,3,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\frontier\precedence\SimplePrecedenceProvider.java,class,false,49
HANDLER,org.archive.crawler.reporting.AlertHandler,4,2,1,6,0,4,5,7,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\reporting\AlertHandler.java,class,false,78
TEST,org.archive.modules.writer.MirrorWriterProcessorTest,0,4,1,0,0,0,0,0,D:\Projetos\_Web\heritrix3\modules\src\test\java\org\archive\modules\writer\MirrorWriterProcessorTest.java,class,false,30
TEST,org.archive.crawler.selftest.UserAgentSelfTest,2,4,9,0,0,2,12,2,D:\Projetos\_Web\heritrix3\engine\src\test\java\org\archive\crawler\selftest\UserAgentSelfTest.java,class,false,84
LOOKAHEADITERATOR,org.archive.util.iterator.LineReadingIterator,2,2,1,0,0,2,6,5,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\util\iterator\LineReadingIterator.java,class,false,59
QUEUEPRECEDENCEPOLICY,org.archive.crawler.frontier.precedence.HighestUriQueuePrecedencePolicy,6,3,8,0,0,6,14,16,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\frontier\precedence\HighestUriQueuePrecedencePolicy.java,class,false,119
ENTITY,org.archive.crawler.spring.SheetAssociation,2,1,0,0,1,2,0,2,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\spring\SheetAssociation.java,class,false,42
PROCESSOR,org.archive.crawler.postprocessor.LinksScoper,13,3,7,76,0,13,41,42,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\postprocessor\LinksScoper.java,class,false,242
PROCESSOR,org.archive.crawler.processor.CrawlMapper,27,2,8,269,2,27,48,48,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\processor\CrawlMapper.java,class,false,346
VIEW,org.archive.crawler.framework.CrawlLimitEnforcer,10,1,8,9,0,10,3,18,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\CrawlLimitEnforcer.java,class,false,103
ENTITY,org.archive.crawler.frontier.precedence.PrecedenceProvider,7,1,4,21,1,7,9,7,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\frontier\precedence\PrecedenceProvider.java,class,false,79
UNDEFINED,org.archive.util.FilesystemLinkMaker,5,1,5,8,0,5,13,14,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\util\FilesystemLinkMaker.java,class,false,124
