DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
[VALIDATOR],org.openmrs.validator.AlertValidator,2,1,5,1,0,2,6,4,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\validator\AlertValidator.java,class,false,59
UNDEFINED,org.openmrs.module.web.extension.ExtensionUtil,2,1,3,3,0,2,6,8,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\module\web\extension\ExtensionUtil.java,class,false,70
[CUSTOMTASKCHANGE],org.openmrs.util.databasechange.ConvertOrderersToProviders,8,1,8,28,0,8,21,24,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\util\databasechange\ConvertOrderersToProviders.java,class,false,138
TEST,org.openmrs.util.JavaVersionTest,3,1,4,3,0,3,5,3,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\util\JavaVersionTest.java,class,false,54
ENTITY,org.openmrs.web.dwr.ProblemListItem,15,1,1,87,0,15,17,17,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\web\dwr\ProblemListItem.java,class,false,104
UNDEFINED,org.openmrs.arden.Conclude,3,1,0,1,0,3,2,6,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\arden\Conclude.java,class,false,48
BASEOPENMRSOBJECT,org.openmrs.hl7.HL7InArchive,10,3,3,39,0,10,9,10,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\hl7\HL7InArchive.java,class,false,114
TEST,org.openmrs.api.db.hibernate.ImmutableEntityInterceptorTest,9,3,7,16,0,9,6,9,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\ImmutableEntityInterceptorTest.java,class,false,127
[FILTERCHAIN],org.openmrs.module.web.filter.ModuleFilterChain,3,1,6,0,0,3,5,5,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\module\web\filter\ModuleFilterChain.java,class,false,79
BASEOPENMRSOBJECT,org.openmrs.ConceptDatatype,20,3,5,172,0,20,4,20,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\ConceptDatatype.java,class,false,236
TEST,org.openmrs.EncounterRoleTest,1,1,3,0,0,1,1,1,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\EncounterRoleTest.java,class,false,32
TEST,org.openmrs.propertyeditor.ConceptNumericEditorTest,2,3,3,1,0,2,3,2,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\ConceptNumericEditorTest.java,class,false,30
TEST,org.openmrs.propertyeditor.PrivilegeEditorTest,3,3,4,3,0,3,4,3,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\PrivilegeEditorTest.java,class,false,38
JUNITSTORY,org.openmrs.stories.ViewServerLog,1,3,3,0,0,1,1,1,D:\Projetos\_Web\openmrs-core\release-test\src\main\java\org\openmrs\stories\ViewServerLog.java,class,false,32
UNDEFINED,org.openmrs.web.controller.bean.DatatableResponse,11,1,1,33,0,11,10,27,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\web\controller\bean\DatatableResponse.java,class,false,172
UNDEFINED,org.openmrs.web.dwr.PersonListItem,40,1,5,640,1,40,30,84,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\web\dwr\PersonListItem.java,class,false,410
UNDEFINED,org.openmrs.notification.web.dwr.DWRMessageService,2,1,3,0,0,2,17,12,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\notification\web\dwr\DWRMessageService.java,class,false,90
[APPLICATION],org.openmrs.hl7.handler.ORUR01Handler,35,1,75,565,0,35,236,274,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\hl7\handler\ORUR01Handler.java,class,false,1313
TEST,org.openmrs.validator.BaseAttributeTypeValidatorTest,10,3,8,0,0,10,14,10,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\validator\BaseAttributeTypeValidatorTest.java,class,false,138
CONTROLLER,org.openmrs.web.controller.PersonRelationshipsPortletController,1,2,3,0,0,1,3,1,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\web\controller\PersonRelationshipsPortletController.java,class,false,35
BODYTAGSUPPORT,org.openmrs.web.taglib.ForEachObsTag,14,2,4,51,0,14,21,29,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\web\taglib\ForEachObsTag.java,class,false,196
[VALIDATOR],org.openmrs.validator.ImplementationIdValidator,2,1,7,1,0,2,7,6,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\validator\ImplementationIdValidator.java,class,false,64
TEST,org.openmrs.BaseOpenmrsObjectTest,13,1,5,78,0,13,9,13,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\BaseOpenmrsObjectTest.java,class,false,192
SERVICE,org.openmrs.api.impl.ProgramWorkflowServiceImpl,71,2,18,1835,0,71,125,181,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\impl\ProgramWorkflowServiceImpl.java,class,false,946
TEST,org.openmrs.EncounterTypeTest,1,1,3,0,0,1,3,1,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\EncounterTypeTest.java,class,false,38
TEST,org.openmrs.OrderTypeTest,3,1,4,3,0,3,9,3,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\OrderTypeTest.java,class,false,62
ENTITY,org.openmrs.propertyeditor.UserEditor,3,2,3,3,0,3,13,10,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\propertyeditor\UserEditor.java,class,false,72
[VALIDATOR],org.openmrs.validator.StateConversionValidator,2,1,5,1,1,2,6,4,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\validator\StateConversionValidator.java,class,false,66
UNDEFINED,org.openmrs.web.controller.bean.DatatableRequest,32,1,2,468,0,32,34,52,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\web\controller\bean\DatatableRequest.java,class,false,409
[FILTER],org.openmrs.module.web.filter.ForcePasswordChangeFilter,4,1,6,2,0,4,13,9,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\module\web\filter\ForcePasswordChangeFilter.java,class,false,97
TEST,org.openmrs.propertyeditor.PersonEditorTest,2,3,3,1,0,2,3,2,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\PersonEditorTest.java,class,false,30
OPENMRSMEMENTO,org.openmrs.scheduler.timer.TimerSchedulerMemento,7,2,1,0,0,7,3,7,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\scheduler\timer\TimerSchedulerMemento.java,class,false,58
ABSTRACTFIELDGENHANDLER,org.openmrs.web.taglib.fieldgen.UserHandler,1,2,3,0,0,1,5,4,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\web\taglib\fieldgen\UserHandler.java,class,false,34
TAGSUPPORT,org.openmrs.web.taglib.GlobalPropertyTag,9,2,2,12,0,9,16,18,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\web\taglib\GlobalPropertyTag.java,class,false,109
BASEOPENMRSOBJECT,org.openmrs.Privilege,9,3,1,16,0,9,2,9,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\Privilege.java,class,false,89
DATE,org.openmrs.util.AttributableDate,7,2,4,15,0,7,5,11,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\util\AttributableDate.java,class,false,117
