"Tecnicas;Design Role;Classe;Método;LOC;CC;Efferent;NOP;Problema de Design;Deveria ser REFATORADO por conta desse problema?; Se DISCORDAR, quais os motivos? "
" R, D ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;registrarAlteracaoDae;25;8;14;5;Muitos Desvios;(1) Discordo Fortemente;;"
" R, D ;REGISTROMOVCONSOLIDADO;br.gov.se.sefaz.sae.concBanc.ng.registro.RegistroG;validarCodigoBarras;108;40;9;0;Muitos Desvios;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.docOrigem.AlterarDocOrigem;process;66;12;12;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIntegracao;gerarDAESIT;120;41;19;6;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D ;REGISTROMOVCONSOLIDADO;br.gov.se.sefaz.sae.concBanc.ng.registro.Registro2;validar;55;18;1;0;Muitos Desvios;(1) Discordo Fortemente;;"
" R, D ;GERENCIADORBASE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorRepasse;consultarRepasseFunprevporPeriodo;26;10;6;5;Muitos Parametros;(1) Discordo Fortemente;;"
" R, D ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.documento.ConsultaAvancadaSAE;montaDoctoSaida;123;37;14;5;Metodo Longo;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.percentRepasseReceita.IncluirPercentRepasseReceita;process;27;2;9;0;Metodo Longo;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.receita.AlterarReceita;process;46;5;14;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirSourceToResultICMS;42;12;10;2;Metodo Longo;(1) Discordo Fortemente;;"
" R, D ;TEST;br.gov.se.sefaz.sae.ng.GerenciadorBase;montarComboMotivoReceita;20;4;9;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;verificarAntecipacoes;31;13;7;1;Muitos Desvios;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.psdi.CalcularPSDI;process;32;3;11;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.arquivo.ProcessarArquivoRecebidoBase;adicionarPendencia;3;1;3;4;Muitos Parametros;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.EmitirDAEAvulso;verificarFormaRecolhimentoSIT;33;15;4;1;Muitos Desvios;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.desmembramento.itemDae.ListarItensDesmembramentoDAE;registrarDesemembramentoItemDAE;222;80;15;4;Metodo Longo;(1) Discordo Fortemente;;"
" R, D ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.documento.ConsultaAvancadaSAE;montaFiltroDetalheDAE;108;17;5;1;Muitos Desvios;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirPropiedadesItemDaeNotificacao;4;1;3;4;Muitos Parametros;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.contribuinteNaoInscrito.ExcluirItemDAE;process;38;6;11;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.cadastro.conta.InserirContaBancaria;montarComboAgenciaAtiva;30;7;9;1;Metodo Longo;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.itd.ConsultarContribuinte;process;103;37;17;0;Metodo Longo;(1) Discordo Fortemente;;"
" R, D ;GNRE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorGNRE;verificarExistenciaGNRE;62;15;9;5;Metodo Longo;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.tipoDesconto.ExcluirTipoDesconto;process;21;2;9;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorOperacional;alterarDadosEmissao;36;34;10;5;Muitos Desvios;(1) Discordo Fortemente;;"
" R, D ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqChequeDevolvido;validar;198;58;22;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.EmitirDAEEspecialContribuinte;process;135;28;17;0;Muitos Desvios;(1) Discordo Fortemente;;"
" R, D ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;registrarHistoricoDAE;30;9;12;11;Muitos Parametros;(1) Discordo Fortemente;;"
" R, D ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorOperacional;registrarAlteracaoDAS;124;27;17;3;Muitos Desvios;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.talonario.to.repassarTalao.ListarTalaoRepasse;process;26;10;5;0;Muitos Desvios;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.IPVA.EfetuarSolicitacaoIsencaoIPVAInicioBase;initialize;67;11;7;0;Metodo Longo;(1) Discordo Fortemente;;"
" R, D ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIntegracao;obterVencimentoReceita;44;16;10;13;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D ;[CONSTANTES, CONSTANTESEMISSAODAE];br.gov.se.sefaz.sae.util.campo.CamposSAE;obterDsParcelaApuracao;50;9;2;1;Muitos Desvios;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.motivoTalao.ExcluirMotivoTalao;process;22;2;9;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.EmitirDAEContribuinteNaoInscrito;initialize;51;12;10;0;Metodo Longo;(1) Discordo Fortemente;;"
" R, D ;REGISTROMOVCONSOLIDADO;br.gov.se.sefaz.sae.concBanc.ng.registro.RegistroG;validarCodigoBarras;108;40;9;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;formatarTelaDAEAvulsoContribInscrito;159;31;11;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.talonario.to.alterar.CorrigirNumeroTalaoDAEManual;process;90;13;19;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorCheqDev;vincularChequeDoc;37;4;14;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.cotacaoIPVA.IncluirCotacao;process;32;5;7;0;Metodo Longo;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;montarItens;98;27;11;3;Metodo Longo;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.percentCalculoReceita.AlterarPercentCalculoReceita;initialize;51;10;4;0;Metodo Longo;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.grupoMotivoReceita.AlterarGrupoMotivoReceita;process;34;3;11;0;Metodo Longo;(1) Discordo Fortemente;;"
" R, D ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqChequeDevolvido;validar;198;58;22;0;Muitos Desvios;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirSourceToResultImpExpContribuiteNaoInscrito;28;4;7;2;Metodo Longo;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemICMS;process;38;8;10;0;Metodo Longo;(1) Discordo Fortemente;;"
" R, D ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.TransacaoCustodiais;getDadosOrdenadosIntervalo;7;1;6;4;Muitos Parametros;(1) Discordo Fortemente;;"
