Commmit-id,Refactring-name,Refactoring-Type,Code Element Left,Code Element Right,Class Before,Class After
c684da45639deb90e639deba2d4f6728b2f3a557,Move Method,MOVE_OPERATION,"private checkValidImapFolder(preference Preference, imapFolder String) : boolean","package checkValidImapFolder(preference Preference, imapFolder String) : boolean",[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.activity.fragments.AdvancedSettings]
c684da45639deb90e639deba2d4f6728b2f3a557,Move Method,MOVE_OPERATION,protected onResume() : void,public onResume() : void,[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.activity.fragments.AdvancedSettings.Backup]
c684da45639deb90e639deba2d4f6728b2f3a557,Move Method,MOVE_OPERATION,private updateImapFolderLabelFromPref() : void,private updateImapFolderLabelFromPref() : void,[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.activity.fragments.AdvancedSettings.Backup]
c684da45639deb90e639deba2d4f6728b2f3a557,Move Method,MOVE_OPERATION,private updateImapCallogFolderLabelFromPref() : void,private updateImapCallogFolderLabelFromPref() : void,[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.activity.fragments.AdvancedSettings.Backup]
c684da45639deb90e639deba2d4f6728b2f3a557,Move Method,MOVE_OPERATION,private updateMaxItemsPerSync(newValue String) : void,private updateMaxItemsPerSync(newValue String) : void,[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.activity.fragments.AdvancedSettings.Backup]
c684da45639deb90e639deba2d4f6728b2f3a557,Move Method,MOVE_OPERATION,private updateLastBackupTimes() : void,private updateLastBackupTimes() : void,[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.activity.fragments.AdvancedSettings.Backup]
c684da45639deb90e639deba2d4f6728b2f3a557,Move Method,MOVE_OPERATION,private getLastSyncText(lastSync long) : String,private getLastSyncText(lastSync long) : String,[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.activity.fragments.AdvancedSettings.Backup]
c684da45639deb90e639deba2d4f6728b2f3a557,Move Method,MOVE_OPERATION,private updateBackupContactGroupLabelFromPref() : void,private updateBackupContactGroupLabelFromPref() : void,[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.activity.fragments.AdvancedSettings.Backup]
c684da45639deb90e639deba2d4f6728b2f3a557,Move Method,MOVE_OPERATION,private updateCallLogCalendarLabelFromPref() : void,private updateCallLogCalendarLabelFromPref() : void,[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.activity.fragments.AdvancedSettings.Backup.CallLog]
c684da45639deb90e639deba2d4f6728b2f3a557,Move Method,MOVE_OPERATION,private initGroups() : void,private initGroups() : void,[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.activity.fragments.AdvancedSettings.Backup.CallLog]
