Commmit-name,Refactring-name,Refactoring-Type,Code Element Left,Code Element Right,Class After,Class Before,Short Message,Full Message
0355091497614e63a0251d2418b46ff30e9fb66e,Extract Method,EXTRACT_OPERATION,[com.zegoggles.smssync.service.BackupTask],[com.zegoggles.smssync.service.BackupTask]
6453f6cd12659e70d9daa5d6c93a1c6d94203689,Rename Attribute,RENAME_ATTRIBUTE,[com.zegoggles.smssync.mail.ConversionResult],[com.zegoggles.smssync.mail.ConversionResult]
6453f6cd12659e70d9daa5d6c93a1c6d94203689,Extract Method,EXTRACT_OPERATION,[com.zegoggles.smssync.service.BackupTask],[com.zegoggles.smssync.service.BackupTask]
6453f6cd12659e70d9daa5d6c93a1c6d94203689,Merge Variable,MERGE_VARIABLE,[com.zegoggles.smssync.service.BackupTask],[com.zegoggles.smssync.service.BackupTask]
6453f6cd12659e70d9daa5d6c93a1c6d94203689,Merge Variable,MERGE_VARIABLE,[com.zegoggles.smssync.service.BackupTask],[com.zegoggles.smssync.service.BackupTask]
6453f6cd12659e70d9daa5d6c93a1c6d94203689,Change Variable Type,CHANGE_VARIABLE_TYPE,[com.zegoggles.smssync.service.BackupTask],[com.zegoggles.smssync.service.BackupTask]
6453f6cd12659e70d9daa5d6c93a1c6d94203689,Rename Variable,RENAME_VARIABLE,[com.zegoggles.smssync.service.BackupTask],[com.zegoggles.smssync.service.BackupTask]
59b8884ce7737549a2975c7e29b64e43fcf78d58,Extract And Move Method,EXTRACT_AND_MOVE_OPERATION,[com.zegoggles.smssync.service.BackupTask],[com.zegoggles.smssync.service.BackupTask]
e903d4957ddabfaed2f284c4a07ab60e4a4932e3,Change Parameter Type,CHANGE_PARAMETER_TYPE,[com.zegoggles.smssync.service.RestoreTask],[com.zegoggles.smssync.service.RestoreTask]
e903d4957ddabfaed2f284c4a07ab60e4a4932e3,Extract Class,EXTRACT_CLASS,[com.zegoggles.smssync.service.RestoreConfig],[com.zegoggles.smssync.service.RestoreTask]
e903d4957ddabfaed2f284c4a07ab60e4a4932e3,Move Attribute,MOVE_ATTRIBUTE,[com.zegoggles.smssync.service.RestoreConfig],[com.zegoggles.smssync.service.RestoreTask]
e903d4957ddabfaed2f284c4a07ab60e4a4932e3,Move Attribute,MOVE_ATTRIBUTE,[com.zegoggles.smssync.service.RestoreConfig],[com.zegoggles.smssync.service.RestoreTask]
e903d4957ddabfaed2f284c4a07ab60e4a4932e3,Move Attribute,MOVE_ATTRIBUTE,[com.zegoggles.smssync.service.RestoreConfig],[com.zegoggles.smssync.service.RestoreTask]
e903d4957ddabfaed2f284c4a07ab60e4a4932e3,Move Attribute,MOVE_ATTRIBUTE,[com.zegoggles.smssync.service.RestoreConfig],[com.zegoggles.smssync.service.RestoreTask]
6286127f77546378fd2206347a2f9382a7bc3f61,Extract Method,EXTRACT_OPERATION,[com.zegoggles.smssync.receiver.SmsBroadcastReceiver],[com.zegoggles.smssync.receiver.SmsBroadcastReceiver]
6286127f77546378fd2206347a2f9382a7bc3f61,Change Return Type,CHANGE_RETURN_TYPE,[com.zegoggles.smssync.service.AlarmsTest],[com.zegoggles.smssync.service.AlarmsTest]
1b9b0cf1ec8144dfb1e9e4da9aec1687836a2f86,Extract Method,EXTRACT_OPERATION,[com.zegoggles.smssync.receiver.SmsBroadcastReceiver],[com.zegoggles.smssync.receiver.SmsBroadcastReceiver]
6d2cf785b671f2c880862b48914729268dde1dcf,Rename Parameter,RENAME_PARAMETER,[com.zegoggles.smssync.preferences.Preferences],[com.zegoggles.smssync.preferences.Preferences]
6d2cf785b671f2c880862b48914729268dde1dcf,Rename Method,RENAME_METHOD,[com.zegoggles.smssync.preferences.Preferences],[com.zegoggles.smssync.preferences.Preferences]
6d2cf785b671f2c880862b48914729268dde1dcf,Rename Method,RENAME_METHOD,[com.zegoggles.smssync.preferences.Preferences],[com.zegoggles.smssync.preferences.Preferences]
6d2cf785b671f2c880862b48914729268dde1dcf,Rename Method,RENAME_METHOD,[com.zegoggles.smssync.preferences.Preferences],[com.zegoggles.smssync.preferences.Preferences]
