DesignRoleTechnique;LOC;CC;Efferent;NOP;CLOC
ABSTRACTDELEGATINGFILTER;38;7;10;3;157;
[ATBACONNECTIONSTATEMANAGER];38;7;10;3;157;
HTTPSESSIONHANDSHAKEINTERCEPTOR;38;7;10;4;157;
[SOLRMATCHERQUERYEXECUTOR];38;7;10;4;157;
[ICALLBACKEVENT];38;7;10;3;157;
[AUTHORIZATIONMODULE];38;7;10;3;157;
[PATIENTEVENT];38;7;10;3;157;
[CHANNELPIPELINEFACTORY];38;7;10;3;157;
[MESSAGE];38;7;10;3;157;
[VISIBILITY];38;7;10;3;157;
[PROTOCOLCODECFACTORY];38;7;10;3;157;
REPLAYINGDECODER;57;10;15;4;229;
ABSTRACTUSERMANAGER;38;7;10;3;157;
RTPFLOW;38;7;10;3;157;
[SCREENCAPTURESENDER];38;7;10;4;193;
DEFAULTWFMAGGREGATOR;38;7;14;3;157;
[BOTMANAGER];38;7;12;3;157;
DEFAULTRECORDELEMENT;38;7;10;3;157;
[CODEC];38;7;10;3;157;
RECORDEVENT;38;7;10;3;157;
[OID];38;7;10;3;157;
ABSTRACTCAMELPROCESSOR;57;15;16;3;157;
[IAKKATOVERTXGATEWAY];38;7;10;3;157;
ABSTRACTUSER;38;7;10;3;157;
ABSTRACTEXTENSIONID;38;7;10;3;157;
[PROBLEMFACTCHANGE];38;7;10;3;157;
ABSTRACTPHENOTIPSONTOLOGYPROPERTY;38;10;10;3;158;
CXFSERVLET;38;7;10;3;157;
APPLICATIONEVENT;38;7;10;3;157;
[SYSTEMMESSAGEPROVIDE];38;7;10;3;157;
[SOCKETDEFINITION];38;7;10;3;157;
[IUSESSLOGHELPER];38;7;10;3;157;
