DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
MODEL,org.jumpmind.metl.core.model.Flow,48,3,9,762,0,48,40,121,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\model\Flow.java,class,false,418
ENTITY,org.jumpmind.metl.core.runtime.component.EntityNameLookup,2,1,4,0,0,2,10,9,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\runtime\component\EntityNameLookup.java,class,false,67
PANEL,org.jumpmind.metl.ui.views.manage.ManageNavigator,11,2,21,0,0,11,66,55,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\views\manage\ManageNavigator.java,class,false,315
ABSTRACTDIRECTORY,org.jumpmind.metl.core.runtime.resource.AbstractJMSJndiDirectory,21,2,19,164,2,21,52,87,D:\Projetos\_Web\metl\resource-core\src\main\java\org\jumpmind\metl\core\runtime\resource\AbstractJMSJndiDirectory.java,class,false,335
MODEL,org.jumpmind.metl.core.model.EntityTag,8,2,1,10,0,8,0,8,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\model\EntityTag.java,class,false,66
[IDATAPROVIDER],org.jumpmind.metl.ui.common.TableV7DataProvider,6,1,3,0,0,6,8,6,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\common\TableV7DataProvider.java,class,false,66
RESIZABLEWINDOW,org.jumpmind.metl.ui.views.design.ImportXmlTemplateWindow,12,2,36,62,0,12,77,48,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\views\design\ImportXmlTemplateWindow.java,class,false,350
[ISENDMESSAGECALLBACK],org.jumpmind.metl.core.runtime.component.SendMessageCallback,14,1,8,51,0,14,12,20,D:\Projetos\_Web\metl\metl-core\src\test\java\org\jumpmind\metl\core\runtime\component\SendMessageCallback.java,class,false,125
VIEW,org.jumpmind.metl.ui.views.design.DesignNavigator,65,2,51,42,0,65,213,310,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\views\design\DesignNavigator.java,class,false,1209
[ICOMPONENTRUNTIMEFACTORY],org.jumpmind.metl.core.runtime.component.ComponentRuntimeFactory,2,1,5,0,0,2,7,6,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\runtime\component\ComponentRuntimeFactory.java,class,false,52
VIEW,org.jumpmind.metl.ui.views.design.EditTempRdbmsPanel,2,3,7,0,0,2,24,6,D:\Projetos\_Web\metl\comp-temp-rdbms\src\main\java\org\jumpmind\metl\ui\views\design\EditTempRdbmsPanel.java,class,false,99
MODEL,org.jumpmind.metl.core.model.ProjectVersionDepends,9,3,2,20,0,9,7,13,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\model\ProjectVersionDepends.java,class,false,96
