DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
[TRANSFERENCESAVINGLOGIC],br.com.webbudget.domain.logics.financial.transference.NegativeValueValidator,1,1,4,0,0,1,2,3,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\logics\financial\transference\NegativeValueValidator.java,class,false
EXCEPTION,br.com.webbudget.infrastructure.jsf.exception.CustomExceptionHandlerWrapper,3,2,6,1,0,3,19,5,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\jsf\exception\CustomExceptionHandlerWrapper.java,class,false
ENTITY,br.com.webbudget.domain.entities.financial.FixedMovement,4,3,13,0,0,4,1,5,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\financial\FixedMovement.java,class,true
MODEL,br.com.webbudget.application.components.ui.chart.PieChartModel,6,2,3,0,0,6,4,6,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\components\ui\chart\PieChartModel.java,class,false
UNDEFINED,br.com.webbudget.domain.calculators.PeriodMovementCalculator,8,1,6,0,0,8,12,8,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\calculators\PeriodMovementCalculator.java,class,false
ENTITY,br.com.webbudget.application.controller.registration.CardBean,8,4,25,8,0,8,19,8,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\registration\CardBean.java,class,false
[MOVEMENTCLASSSAVINGLOGIC| MOVEMENTCLASSUPDATINGLOGIC],br.com.webbudget.domain.logics.registration.movementclass.MovementClassBudgetValidator,1,1,9,0,0,1,15,7,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\logics\registration\movementclass\MovementClassBudgetValidator.java,class,false
ENTITY,br.com.webbudget.application.controller.journal.EntryBean,0,2,3,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\journal\EntryBean.java,class,false
UNDEFINED,br.com.webbudget.infrastructure.i18n.MessageSource,2,1,2,0,0,2,5,5,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\i18n\MessageSource.java,class,false
[PAYMENTSAVINGLOGIC],br.com.webbudget.domain.logics.financial.payment.PaymentValueValidator,1,1,5,0,0,1,5,3,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\logics\financial\payment\PaymentValueValidator.java,class,false
ENTITY,br.com.webbudget.domain.entities.ImmutableEntity,1,1,8,0,10,1,0,1,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\ImmutableEntity.java,class,false
ENTITY,br.com.webbudget.application.components.ui.FormBean,13,2,8,34,4,13,5,13,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\components\ui\FormBean.java,class,false
ENTITY,br.com.webbudget.domain.entities.financial.Movement,12,2,23,0,1,12,19,17,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\financial\Movement.java,class,true
[PERIODMOVEMENTDELETINGLOGIC],br.com.webbudget.domain.logics.financial.movement.period.QuoteDeleteLogic,2,1,9,0,0,2,14,10,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\logics\financial\movement\period\QuoteDeleteLogic.java,class,false
ENTITY,br.com.webbudget.domain.entities.registration.Telephone,0,2,17,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\registration\Telephone.java,class,true
