Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design,Deveria ser REFATORADO por conta desse problema?,"Se DISCORDAR, quais os motivos? "
 V ,UNDEFINED,com.zegoggles.smssync.activity.Dialogs,createMessageDialog,3,1,4,3,Muitos Parametros,(1) Discordo Fortemente;
 V ,UNDEFINED,com.zegoggles.smssync.utils.AppLog,rotate,26,10,10,1,Metodo Longo,(1) Discordo Fortemente;
 V ,[CALENDARACCESSOR],com.zegoggles.smssync.calendar.CalendarAccessorPost40,addEntry,30,5,12,5,Metodo Longo,(1) Discordo Fortemente;
" A, V, X ",UNDEFINED,com.zegoggles.smssync.preferences.Preferences,getDefaultType,10,3,7,4,Muitos Parametros,(1) Discordo Fortemente;
 V ,SERVICE,com.zegoggles.smssync.service.ServiceBase,onStartCommand,4,1,2,3,Muitos Parametros,(1) Discordo Fortemente;
 V ,ACTIVITY,com.zegoggles.smssync.activity.MainActivity,onActivityResult,46,14,11,3,Alto Acoplamento Efferent,(1) Discordo Fortemente;
 V ,ACTIVITY,com.zegoggles.smssync.activity.MainActivity,performAction,16,5,4,1,Muitos Desvios,(1) Discordo Fortemente;
 V ,ASYNCTASK,com.zegoggles.smssync.service.RestoreTask,handleAuthError,24,5,9,3,Muitos Parametros,(1) Discordo Fortemente;
 V ,SERVICE,com.zegoggles.smssync.service.SmsBackupService,backup,33,8,9,1,Muitos Desvios,(1) Discordo Fortemente;
 V ,ASYNCTASK,com.zegoggles.smssync.service.RestoreTask,importMessage,31,8,11,1,Alto Acoplamento Efferent,(1) Discordo Fortemente;
 V ,ASYNCTASK,com.zegoggles.smssync.service.RestoreTask,restore,50,12,16,1,Metodo Longo,(1) Discordo Fortemente;
 V ,UNDEFINED,com.zegoggles.smssync.mail.MessageGenerator,messageFromMapMms,39,7,14,1,Metodo Longo,(1) Discordo Fortemente;
 V ,SERVICE,com.zegoggles.smssync.service.SmsBackupService,backup,33,8,9,1,Alto Acoplamento Efferent,(1) Discordo Fortemente;
 V ,UNDEFINED,com.zegoggles.smssync.auth.TokenRefresher,refreshUsingAccountManager,27,6,8,2,Muitos Desvios,(1) Discordo Fortemente;
 V ,PERSISTENCE,com.zegoggles.smssync.mail.BackupImapStore,search,3,7,5,0,Muitos Desvios,(1) Discordo Fortemente;
" A, V, X ",UNDEFINED,com.zegoggles.smssync.mail.MmsSupport,getDetails,25,6,16,2,Alto Acoplamento Efferent,(1) Discordo Fortemente;
" A, V, X ",ASYNCTASK,com.zegoggles.smssync.service.BackupTask,backupCursors,35,7,13,4,Muitos Parametros,(1) Discordo Fortemente;
 V ,SERVICE,com.zegoggles.smssync.service.SmsRestoreService,handleIntent,18,5,12,1,Muitos Desvios,(1) Discordo Fortemente;
" A, V, X ",UNDEFINED,com.zegoggles.smssync.mail.HeaderGenerator,setHeaders,21,4,7,7,Muitos Parametros,(1) Discordo Fortemente;
 V ,ACTIVITY,com.zegoggles.smssync.activity.MainActivity,onRequestPermissionsResult,25,7,8,3,Muitos Desvios,(1) Discordo Fortemente;
 V ,UNDEFINED,com.zegoggles.smssync.mail.HeaderGenerator,createMessageId,21,5,11,3,Alto Acoplamento Efferent,(1) Discordo Fortemente;
 V ,TEST,com.zegoggles.smssync.service.AlarmManagerDriverTest,jobBuilder,31,1,0,0,Metodo Longo,(1) Discordo Fortemente;
 V ,PREFERENCE,com.zegoggles.smssync.activity.StatusPreference,backupStateChanged,23,6,5,1,Muitos Desvios,(1) Discordo Fortemente;
 V ,UNDEFINED,com.zegoggles.smssync.service.BackupItemsFetcher,performQuery,15,5,6,1,Muitos Desvios,(1) Discordo Fortemente;
 V ,ASYNCTASK,com.zegoggles.smssync.service.BackupTask,handleAuthError,25,5,8,2,Muitos Desvios,(1) Discordo Fortemente;
 V ,ASYNCTASK,com.zegoggles.smssync.service.BackupTask,fetchAndBackupItems,41,9,14,1,Metodo Longo,(1) Discordo Fortemente;
 V ,UNDEFINED,com.zegoggles.smssync.mail.MmsSupport,getMMSBodyParts,24,8,11,1,Metodo Longo,(1) Discordo Fortemente;
 V ,ASYNCTASK,com.zegoggles.smssync.service.RestoreTask,importMessage,31,8,11,1,Muitos Desvios,(1) Discordo Fortemente;
 V ,ASYNCTASK,com.zegoggles.smssync.tasks.OAuth2CallbackTask,doInBackground,13,5,7,1,Muitos Desvios,(1) Discordo Fortemente;
