Classe                              ;DesignRoleTechnique                        ;Concorda?;
com.zegoggles.smssync.preferences.Preferences;UNDEFINED;SIM;
com.zegoggles.smssync.compat.SmsReceiver;BROADCASTRECEIVER;SIM;
com.zegoggles.smssync.auth.OAuth2Token;UNDEFINED;SIM;
com.zegoggles.smssync.utils.ListPreferenceHelper;UNDEFINED;SIM;
com.zegoggles.smssync.compat.ComposeSmsActivity;ACTIVITY;SIM;
com.zegoggles.smssync.activity.MainActivity;ACTIVITY;SIM;
com.zegoggles.smssync.contacts.ContactGroup;UNDEFINED;SIM;
"com.zegoggles.smssync.service.AlarmManagerDriver;[DRIVER, JOBVALIDATOR];SIM;"
com.zegoggles.smssync.service.BackupJobsTest;TEST;SIM;
com.zegoggles.smssync.mail.MessageGenerator;UNDEFINED;SIM;
com.zegoggles.smssync.service.BackupTaskTest;TEST;SIM;
com.zegoggles.smssync.service.RestoreTaskTest;TEST;SIM;
com.zegoggles.smssync.receiver.SmsBroadcastReceiverTest;TEST;SIM;
com.zegoggles.smssync.service.BulkFetcher;UNDEFINED;SIM;
com.zegoggles.smssync.service.exception.SmsProviderNotWritableException;EXCEPTION;SIM;
com.zegoggles.smssync.activity.events.AccountConnectionChangedEvent;UNDEFINED;SIM;
com.zegoggles.smssync.activity.donation.DonationActivityTest;TEST;SIM;
com.zegoggles.smssync.mail.CallFormatterTest;TEST;SIM;
com.zegoggles.smssync.service.exception.ConnectivityException;EXCEPTION;SIM;
com.zegoggles.smssync.contacts.ContactAccessor;UNDEFINED;SIM;
com.zegoggles.smssync.utils.AppLog;UNDEFINED;SIM;
com.zegoggles.smssync.activity.events.AccountRemovedEvent;UNDEFINED;SIM;
com.zegoggles.smssync.activity.StatusPreference;PREFERENCE;SIM;
com.zegoggles.smssync.mail.HeaderGeneratorTest;TEST;SIM;
com.zegoggles.smssync.service.BackupItemsFetcherTest;TEST;SIM;
com.zegoggles.smssync.compat.SmsReceiverTest;TEST;SIM;
com.zegoggles.smssync.AppTest;TEST;SIM;
com.zegoggles.smssync.mail.Attachment;UNDEFINED;SIM;
com.zegoggles.smssync.Consts;UNDEFINED;SIM;
com.zegoggles.smssync.service.BackupItemsFetcher;UNDEFINED;SIM;
com.zegoggles.smssync.service.BulkFetcherTest;TEST;SIM;
com.zegoggles.smssync.App;APPLICATION;SIM;
com.zegoggles.smssync.receiver.BackupBroadcastReceiver;BROADCASTRECEIVER;SIM;
com.zegoggles.smssync.service.SmsJobServiceTest;TEST;SIM;
com.zegoggles.smssync.mail.ConversionResult;UNDEFINED;SIM;
