"Tecnicas;Design Role;Classe;Método;LOC;CC;Efferent;NOP;Problema de Design;Deveria ser REFATORADO por conta desse problema?; Se DISCORDAR, quais os motivos? "
" A, R, D, X ;ASYNCTASK;com.zegoggles.smssync.service.BackupTask;doInBackground;92;23;18;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D ;ACTIVITY;com.zegoggles.smssync.activity.auth.AuthActivity;onCreate;50;1;0;1;Metodo Longo;(1) Discordo Fortemente;;"
 D ;PREFERENCE;com.zegoggles.smssync.activity.StatusPreference;onClick;25;8;8;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 R ;ASYNCTASK;com.zegoggles.smssync.service.RestoreTask;importSms;19;11;10;1;Muitos Desvios;(1) Discordo Fortemente;;
" R, D ;UNDEFINED;com.zegoggles.smssync.utils.Utils;initListPreference;26;8;0;3;Muitos Desvios;(1) Discordo Fortemente;;"
" A, R, D, X ;UNDEFINED;com.zegoggles.smssync.utils.AppLog;onLayout;4;1;1;5;Muitos Parametros;(1) Discordo Fortemente;;"
" R, D ;ACTIVITY;com.zegoggles.smssync.activity.donation.DonationActivity;onClick;3;1;12;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D, X ;UNDEFINED;com.zegoggles.smssync.mail.MessageConverter;MessageConverter;20;4;14;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D ;UNDEFINED;com.zegoggles.smssync.mail.MessageGenerator;getBodyParts;22;8;10;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D ;ACTIVITY;com.zegoggles.smssync.activity.donation.DonationActivity;showSelectDialog;39;4;0;1;Metodo Longo;(1) Discordo Fortemente;;"
" A, R, D, X ;ASYNCTASK;com.zegoggles.smssync.service.RestoreTask;doInBackground;49;16;16;1;Muitos Desvios;(1) Discordo Fortemente;;"
